"amfiteatrov_knyazhna" "amfiteatrov_sovest" "andreev_gubernator" "andreev_sashka" "bely_golub" "bely_peterburg" "chekhov_duel" "chekhov_rasskaz" "gorky_thoma" "gorky_troe" "korolenko_bez" "korolenko_obshchestve" "kuprin_poedinok" "kuprin_yama" "mamin_gnezdo" "solovyev_posolstvo" "solovyev_rozenkreytser" "tolstoy_murat"
"amfiteatrov_knyazhna" 0 0.890313292666046 1.10819629167937 0.963814543231604 1.04575283445414 1.09966253073213 0.998390103559726 1.11736589539535 1.05622210224329 1.1208034669856 1.1592511347487 1.02309973435594 0.971435665069775 0.842922631877819 0.902091165340601 0.917521965310288 1.13245892786491 1.19702374516276
"amfiteatrov_sovest" 0.890313292666046 0 1.31713966206106 1.17537841961427 1.39981099280415 1.41192985146999 1.06686846862821 0.917275322047924 1.25408108312885 1.36877394722011 1.40830966153031 1.27919714760465 1.13334647282994 0.885907036536661 1.14732265140806 1.05633286808508 1.14830130882608 1.59055575171209
"andreev_gubernator" 1.10819629167937 1.31713966206106 0 0.893093048835294 1.27147851853663 1.28890458763441 1.12153909819525 1.15625732166736 1.16363500587742 1.18050035172672 1.06088684267253 0.973678861639153 0.999167080475625 0.977881671517308 1.15893085501127 0.959733967931135 1.16932452342328 1.17815378884916
"andreev_sashka" 0.963814543231604 1.17537841961427 0.893093048835294 0 1.13274653951573 1.22666246457134 1.22813780536055 1.20642090659578 1.19761998372634 1.21429039385586 1.07513581230941 1.07740631807625 1.0209123444679 1.00939695685918 1.16162775389657 0.985812041737155 1.2363841128466 1.27194611523477
"bely_golub" 1.04575283445414 1.39981099280415 1.27147851853663 1.13274653951573 0 0.807555597086141 1.27833087397569 1.39294375602659 1.12180274177893 1.12423324989769 1.17122942604916 1.16757726666233 1.09085867968424 1.18624497187409 1.32503165282546 1.1146962053886 1.46978980024777 1.3738508599096
"bely_peterburg" 1.09966253073213 1.41192985146999 1.28890458763441 1.22666246457134 0.807555597086141 0 1.28043180998596 1.36804891224833 1.20538189053677 1.23578113227351 1.2227105006046 1.07756316737466 0.966210715456878 1.13564502371026 1.07619894922276 1.16173894587926 1.37608852263842 1.29952018335833
"chekhov_duel" 0.998390103559726 1.06686846862821 1.12153909819525 1.22813780536055 1.27833087397569 1.28043180998596 0 0.786172431232742 0.953731730242599 0.956996815128289 1.18927151305516 1.14316899744241 0.942826676010763 0.847616623614388 1.07283005453735 0.992812697717333 1.12371384779528 1.10945809231888
"chekhov_rasskaz" 1.11736589539535 0.917275322047924 1.15625732166736 1.20642090659578 1.39294375602659 1.36804891224833 0.786172431232742 0 1.23195131630608 1.27179883959503 1.19251443708527 1.04976316485328 0.963625075362388 0.858579852507979 1.16399263491906 1.06637333273772 1.17595554806989 1.35234093020525
"gorky_thoma" 1.05622210224329 1.25408108312885 1.16363500587742 1.19761998372634 1.12180274177893 1.20538189053677 0.953731730242599 1.23195131630608 0 0.594801830974135 1.27140368301488 1.26517911630597 0.889601512614119 0.881200587571094 1.21247384896318 0.905947012854425 1.11938670967126 1.2953085067964
"gorky_troe" 1.1208034669856 1.36877394722011 1.18050035172672 1.21429039385586 1.12423324989769 1.23578113227351 0.956996815128289 1.27179883959503 0.594801830974135 0 1.24851877395581 1.17590704241453 0.950467642310371 0.994994806761587 1.25655382005754 1.07336543605794 1.27106463432674 1.19369345772572
