"amfiteatrov_knyazhna" "amfiteatrov_sovest" "andreev_gubernator" "andreev_sashka" "bely_golub" "bely_peterburg" "chekhov_duel" "chekhov_rasskaz" "gorky_thoma" "gorky_troe" "korolenko_bez" "korolenko_obshchestve" "kuprin_poedinok" "kuprin_yama" "mamin_gnezdo" "solovyev_posolstvo" "solovyev_rozenkreytser" "tolstoy_murat"
"и" 3.78004005340454 3.49236333479232 6.71113276126953 6.65546114820583 4.38299389455858 3.57869249394673 5.63691987242075 5.44479582015674 4.55103438473168 4.20240243978341 4.96125103791863 3.98951009931927 4.57934290538017 4.76768836675205 3.53969377323942 4.85950294840881 4.75903459950242 5.36352130502039
"в" 2.70916777926124 2.38890552650372 1.94664068647656 2.25138398433283 2.80538348411248 2.79557246627465 2.45720236932891 2.69260736055731 2.18118854100712 2.42111159519512 2.5924900821109 2.44392366923334 2.43683793757751 2.26018019609575 2.34444332108876 2.05314297992217 2.44812639462412 2.38784981015328
"не" 2.36148197596796 2.44880093989726 1.8679506876007 2.33311230705177 1.54975711930122 1.43272224143895 1.97552561348695 2.26408176360053 1.81938001524764 1.68295263583743 1.41618230464065 1.57348510210914 1.60463761186894 1.64296440243795 1.46260910592121 2.56523503712369 2.22113929569879 1.55533680213753
"на" 1.4588896306186 1.16104955193623 1.3770749803275 1.2336350599084 1.52190382815633 1.34417156693186 1.39621167740676 1.41619689261653 1.58162012689142 1.63689550009336 1.97435187747947 1.68507979020199 1.48959376073867 1.5435915555163 1.46934924004988 1.29157017690453 1.09646310497833 1.50471101110955
"что" 1.26418558077437 1.42136423322353 1.29651141004984 1.2876065937794 1.10856098756629 1.04877205119336 1.65332291870077 1.59035702827811 1.39813151739911 1.22985000311197 1.73678383614725 1.1996428969981 1.12205106751729 1.25872272767423 1.23232118985834 1.63535225726359 1.46066839364949 1.60033750527352
"с" 1.24332443257677 1.03434771591145 0.897440701465133 0.986908047926722 1.4361156914301 1.38291248702871 1.22046475297793 1.09308400934965 1.13065164299836 1.18877201717807 1.21321155088108 1.13268608414239 1.36259730169876 1.27307658334069 1.36712387243173 1.1244538878411 0.965656980173895 1.49627337927155
"он" 0.796895861148198 0.721048630468336 1.48012140742684 0.804946876590233 0.970408663487678 1.27568315461778 1.69888693614528 1.30620101746185 1.38004109111114 1.70909317234082 1.24550235261555 1.07130900569133 1.28341127429741 0.886626623089833 0.548197575798425 1.54105092272065 1.74023442509426 1.83096610884545
"а" 1.14597240765465 1.00440000921468 0.846854273616368 1.19971009576092 1.45171353447123 0.653061224489796 0.77784286923127 0.767679545350383 1.15391076251147 1.35308396091367 1.24780883845373 0.652828925343154 0.73359131045405 0.912021906192032 0.811062806816522 0.872585766466923 0.62325271230347 0.548446069469835
"я" 0.656430796617713 1.74157432790435 1.38082212313111 0.678499282949621 0.415571103881635 0.557592528536838 1.11306385471588 1.81722352078464 0.930364780524364 0.978402937698388 0.387489620813728 2.07566119852695 1.04734726808205 1.16487059447045 0.659409788921466 0.716212667414711 0.963092154197338 0.59907186049782
"то" 0.680073431241656 0.739477988435578 0.85996927342901 1.02545914354886 0.982664111591426 1.10965063991698 0.849443468072642 0.873092259040286 1.02856995180194 0.880064728947532 1.06328997139958 0.775583082245285 0.80231880593447 0.768483349527427 0.584144957817994 0.867811015350825 0.701479904588474 0.590634228659823
