filename	author	title	year	genre	words	source
bulgakov_vvedenie.txt	митрополит Макарий (Булгаков)	Введение в православное богословие	трактат	1845	26223	azbyka.ru
bulgakov_istoriya.txt	митрополит Макарий (Булгаков)	История христианства в России до равноапостольного князя Владимира, как введение в историю Русской Церкви	1846	трактат	21803	azbyka.ru
gorsky_vasiliy.txt	протоиерей Александр Горский	Жизнь Св. Василия Великого	трактат	1845	21503	azbyka.ru
gorsky_istoriya1.txt	протоиерей Александр Горский	История Евангельская	1850	трактат	24015	azbyka.ru
gorsky_istoriya2.txt	протоиерей Александр Горский	История Евангельская	1850	трактат	26317	azbyka.ru
gumilevsky_vvedenie.txt	святитель Филарет Черниговский (Гумилевский)	Православное догматическое богословие	1865	трактат	27697	azbyka.ru
gumilevsky_rus.txt	святитель Филарет Черниговский (Гумилевский)	История Русской Церкви	1849	трактат	32254	azbyka.ru
gumilevsky_otcy.txt	святитель Филарет Черниговский (Гумилевский)	Историческое учение об Отцах Церкви	1859	трактат	34549	azbyka.ru
orlinsky_orthodox.txt	архиепископ Евсевий (Орлинский)	О православной вере	1877	трактат	37476	azbyka.ru
orlinsky_besedy.txt	архиепископ Евсевий (Орлинский)	Беседы о 7 спасительных Таинствах Православной Церкви	1872	трактат	24624	azbyka.ru
rzhanicyn_deva.txt	архиепископ Алексий (Ржаницын)	О Преблагословенной Деве-Матери Господа нашего Иисуса Христа	1848	трактат	12256	azbyka.ru
rzhanicyn_lik1.txt	архиепископ Алексий (Ржаницын)	О Лице Господа и Спасителя нашего Иисуса Христа	1847	трактат	32073 azbyka.ru
rzhanicyn_lik1.txt	архиепископ Алексий (Ржаницын)	О Лице Господа и Спасителя нашего Иисуса Христа	1847	трактат	33795 azbyka.ru
