"bulgakov_istoriya" "bulgakov_vvedenie" "gorsky_istoriya1" "gorsky_istoriya2" "gorsky_vasiliy" "gumilevsky_otcy" "gumilevsky_rus" "gumilevsky_vvedenie" "orlinsky_besedy" "orlinsky_orthodox" "rzhanicyn_deva" "rzhanicyn_lik1" "rzhanicyn_lik2"
"bulgakov_istoriya" 0 1.0888393473368 1.15144547996334 1.30152440187348 1.0121169851936 1.03559165213668 0.925051461919438 1.52033131068864 1.40109577356515 1.49165146678392 1.26404963410188 1.46181939381867 1.29563850120978
"bulgakov_vvedenie" 1.0888393473368 0 1.1710214586451 1.28600457739418 1.1724984470775 1.06666218788107 1.11335774186201 1.02992844400999 1.08870500701497 1.03100339959522 1.22255639626985 1.30781579053961 1.06418851754589
"gorsky_istoriya1" 1.15144547996334 1.1710214586451 0 0.641535785020828 0.797286920317632 0.880808443817707 0.931844864947992 1.21915624488476 1.31217162821671 1.37264484797783 1.23446148420046 1.42908396124124 1.0963426773515
"gorsky_istoriya2" 1.30152440187348 1.28600457739418 0.641535785020828 0 0.829817113112002 1.00366817350344 1.09335823591747 1.41036714052421 1.37813087945201 1.4318957286996 1.38452508448455 1.53484879099779 1.19320539346582
"gorsky_vasiliy" 1.0121169851936 1.1724984470775 0.797286920317632 0.829817113112002 0 0.761325354252157 0.688181420208995 1.38254321312974 1.24548502748388 1.35685155442199 1.2711773073485 1.30327488087092 1.02342843104886
"gumilevsky_otcy" 1.03559165213668 1.06666218788107 0.880808443817707 1.00366817350344 0.761325354252157 0 0.639320282690925 0.96544069045101 1.13473916423806 1.15588136781113 0.927612302172601 1.17874648307376 0.911069057063659
"gumilevsky_rus" 0.925051461919438 1.11335774186201 0.931844864947992 1.09335823591747 0.688181420208995 0.639320282690925 0 1.18784854639151 1.18131829149086 1.33691374484634 1.0624991097024 1.33002550988578 1.03166219452806
"gumilevsky_vvedenie" 1.52033131068864 1.02992844400999 1.21915624488476 1.41036714052421 1.38254321312974 0.96544069045101 1.18784854639151 0 1.21701486915719 1.07637082572837 0.9354778356832 1.18738558949818 1.06625583787816
"orlinsky_besedy" 1.40109577356515 1.08870500701497 1.31217162821671 1.37813087945201 1.24548502748388 1.13473916423806 1.18131829149086 1.21701486915719 0 0.791665054526802 1.00011840516593 1.08155248140433 0.916067966283027
"orlinsky_orthodox" 1.49165146678392 1.03100339959522 1.37264484797783 1.4318957286996 1.35685155442199 1.15588136781113 1.33691374484634 1.07637082572837 0.791665054526802 0 1.16929404555997 1.12035039571273 1.02338740669198
"rzhanicyn_deva" 1.26404963410188 1.22255639626985 1.23446148420046 1.38452508448455 1.2711773073485 0.927612302172601 1.0624991097024 0.9354778356832 1.00011840516593 1.16929404555997 0 0.855368009796405 0.798839089279104
"rzhanicyn_lik1" 1.46181939381867 1.30781579053961 1.42908396124124 1.53484879099779 1.30327488087092 1.17874648307376 1.33002550988578 1.18738558949818 1.08155248140433 1.12035039571273 0.855368009796405 0 0.519366879354323
"rzhanicyn_lik2" 1.29563850120978 1.06418851754589 1.0963426773515 1.19320539346582 1.02342843104886 0.911069057063659 1.03166219452806 1.06625583787816 0.916067966283027 1.02338740669198 0.798839089279104 0.519366879354323 0
