Source,Target,Weight,Type
bulgakov_istoriya,gorsky_vasiliy,2,undirected
bulgakov_istoriya,gumilevsky_otcy,1,undirected
bulgakov_istoriya,gumilevsky_rus,4,undirected
bulgakov_vvedenie,gumilevsky_vvedenie,4,undirected
bulgakov_vvedenie,orlinsky_orthodox,3,undirected
bulgakov_vvedenie,rzhanicyn_lik2,1,undirected
gorsky_istoriya1,gorsky_istoriya2,6,undirected
gorsky_istoriya1,gorsky_vasiliy,3,undirected
gorsky_istoriya1,gumilevsky_otcy,2,undirected
gorsky_istoriya2,gorsky_istoriya1,6,undirected
gorsky_istoriya2,gorsky_vasiliy,2,undirected
gorsky_istoriya2,gumilevsky_otcy,1,undirected
gorsky_vasiliy,bulgakov_istoriya,2,undirected
gorsky_vasiliy,gorsky_istoriya1,3,undirected
gorsky_vasiliy,gorsky_istoriya2,2,undirected
gorsky_vasiliy,gumilevsky_otcy,4,undirected
gorsky_vasiliy,gumilevsky_rus,5,undirected
gumilevsky_otcy,bulgakov_istoriya,1,undirected
gumilevsky_otcy,gorsky_istoriya1,2,undirected
gumilevsky_otcy,gorsky_istoriya2,1,undirected
gumilevsky_otcy,gorsky_vasiliy,4,undirected
gumilevsky_otcy,gumilevsky_rus,6,undirected
gumilevsky_otcy,gumilevsky_vvedenie,2,undirected
gumilevsky_otcy,rzhanicyn_deva,1,undirected
gumilevsky_otcy,rzhanicyn_lik2,1,undirected
gumilevsky_rus,bulgakov_istoriya,4,undirected
gumilevsky_rus,gorsky_vasiliy,5,undirected
gumilevsky_rus,gumilevsky_otcy,6,undirected
gumilevsky_vvedenie,bulgakov_vvedenie,4,undirected
gumilevsky_vvedenie,gumilevsky_otcy,2,undirected
gumilevsky_vvedenie,rzhanicyn_deva,3,undirected
orlinsky_besedy,orlinsky_orthodox,6,undirected
orlinsky_besedy,rzhanicyn_deva,1,undirected
orlinsky_besedy,rzhanicyn_lik1,1,undirected
orlinsky_besedy,rzhanicyn_lik2,2,undirected
orlinsky_orthodox,bulgakov_vvedenie,3,undirected
orlinsky_orthodox,orlinsky_besedy,6,undirected
orlinsky_orthodox,rzhanicyn_lik2,2,undirected
rzhanicyn_deva,gumilevsky_otcy,1,undirected
rzhanicyn_deva,gumilevsky_vvedenie,3,undirected
rzhanicyn_deva,orlinsky_besedy,1,undirected
rzhanicyn_deva,rzhanicyn_lik1,4,undirected
rzhanicyn_deva,rzhanicyn_lik2,5,undirected
rzhanicyn_lik1,orlinsky_besedy,1,undirected
rzhanicyn_lik1,rzhanicyn_deva,4,undirected
rzhanicyn_lik1,rzhanicyn_lik2,6,undirected
rzhanicyn_lik2,bulgakov_vvedenie,1,undirected
rzhanicyn_lik2,gumilevsky_otcy,1,undirected
rzhanicyn_lik2,orlinsky_besedy,2,undirected
rzhanicyn_lik2,orlinsky_orthodox,2,undirected
rzhanicyn_lik2,rzhanicyn_deva,5,undirected
rzhanicyn_lik2,rzhanicyn_lik1,6,undirected
