"bulgakov_istoriya" "bulgakov_vvedenie" "gorsky_istoriya1" "gorsky_istoriya2" "gorsky_vasiliy" "gumilevsky_otcy" "gumilevsky_rus" "gumilevsky_vvedenie" "orlinsky_besedy" "orlinsky_orthodox" "rzhanicyn_deva" "rzhanicyn_lik1" "rzhanicyn_lik2"
"и" 4.55447372064049 5.70027461749706 3.60356554433695 4.14491863678232 3.51148730350665 4.31120502435875 4.9033474776049 4.23104070268999 6.20189762593151 6.49128522560678 4.97093268177606 5.38687561214496 5.50042262780578
"в" 4.35143740482673 3.23656335817968 3.54864602255925 2.96284924777403 3.4776299879081 3.51881199741739 3.88495992456388 3.10171751235197 2.86272753186464 2.38095238095238 3.07523801499705 3.23212536728697 3.2651911216855
"не" 0.982880347007522 1.52216555511965 1.73207722529678 2.44089653054959 1.54776299879081 1.54369900804132 1.68788307402169 1.85867775076465 1.32345156167284 1.21355269587881 1.69348723565591 1.23218855644371 1.57467989856933
"что" 1.07516958146832 1.11416241663397 1.44480588061341 1.27801657967455 0.957678355501814 1.2032634853554 0.942951438000943 1.42733903223277 0.659689701510771 0.985502524841179 1.31434830230011 0.96679409813276 0.970478665122249
"на" 1.08901296663744 0.768928991761475 0.878712348443243 1.08996008596868 1.34461910519952 1.01543699008041 1.05296243910105 0.666614383185632 0.871441951378426 1.07237878047456 0.766703176341731 0.682442892799596 0.851516764236296
"о" 0.526048636426561 0.710082385249117 0.557644374973596 0.698495548050353 0.652962515114873 1.23261137524212 0.656922835140657 1.37636263822445 0.826648206214114 1.23255687679861 1.17111803858792 1.16268048402894 0.979870394139561
"его" 0.415301555073601 0.600235386426049 1.30117020827172 1.53131716303347 1.17533252720677 0.824675705816752 0.773220179160773 0.576425378401694 0.712627763977685 0.993647173806809 0.395989552616059 0.925721146251303 0.889083680305544
"с" 1.02902496423792 0.73362102785406 1.03924633517807 1.21277249002149 1.26723095525998 0.930328109408934 1.0969668395411 0.588189161634382 0.525308466017836 0.480534288972145 0.657174151150055 0.578180784177435 0.735685439689447
"как" 0.535277559872641 0.898391526088662 0.743525833298128 0.875038378876266 0.469165659008464 0.789458237952691 0.594059405940594 1.03129166339895 1.07097772529218 0.928489982081772 0.884657511163535 0.881488736532811 0.87030022227092
"к" 0.756771722578561 0.776775205963123 0.650585104135862 1.22812404052809 1.13180169286578 0.780653870986676 0.911519723400911 0.556819073013881 0.899947061937533 0.711299342998317 0.623472912629539 0.726675302518088 0.763860626741383
"по" 1.038253887684 0.765005884660651 0.646360525537578 0.568007368744243 0.720677146311971 0.818806127839408 0.810938236680811 0.745039604736883 0.643401066905567 0.724873757941033 0.960485297834695 0.698240181984771 0.69185737094199
"от" 0.627566794333441 0.568850529619459 0.667483418529002 0.675468222290451 0.71584038694075 0.501848917062863 0.493477919220493 0.63132303348757 0.920307855194038 0.640712385296194 1.38175077934114 0.881488736532811 0.842125035218984
"он" 0.24918093304416 0.25500196155355 0.950530184614085 1.03239177156893 0.909310761789601 0.812936549862065 0.675781863900676 0.545055289781194 0.325772692104084 0.257913883911603 0.337012385205156 0.347540362073868 0.472717027204708
"но" 0.438373863688801 0.400156924284033 0.692830890118711 0.905741479889469 0.667472793228537 0.595762164700358 0.60977526324061 0.521527723315818 0.525308466017836 0.347505022533529 0.564495745218637 0.423367350162712 0.566634317377829
"для" 0.383000323012321 0.68262063554335 0.528072324785603 0.587196806877495 0.633615477629988 0.625110054587075 0.559484519880559 0.592110422711944 0.403143706478804 0.431666395178368 0.286460527424383 0.271713373985024 0.381930313370692
