"aksakovis_publ1" "aksakovis_publ2" "aksakovks_publ1" "aksakovks_publ2" "annenkov_letters" "annenkov_notes1" "annenkov_notes2" "herzen_natura1" "herzen_natura2" "herzen_notes" "herzen_russkie" "samarin_publ1" "samarin_publ2"
"aksakovis_publ1" 0 1.12568791731781 1.35845449637023 1.23870359224794 1.29612428334499 1.39464342584761 1.41727881813452 1.14744352483857 1.05162808440712 1.28693859492389 1.14859352074523 1.14165700872942 0.998240659916354
"aksakovis_publ2" 1.12568791731781 0 1.17017167303884 1.06440947836418 1.07111231303025 1.16374214671466 1.24079489993819 1.28488031743876 1.08381177685064 1.15327879164693 1.11973315560005 0.919735802414307 0.924247109516504
"aksakovks_publ1" 1.35845449637023 1.17017167303884 0 1.06723152689219 0.890637139518338 1.02061278928468 1.06451968727745 1.37529076528384 1.18331675628042 0.962312382530193 1.16495681733046 1.17217926502489 1.18588376257435
"aksakovks_publ2" 1.23870359224794 1.06440947836418 1.06723152689219 0 1.17378599562558 1.19472310556832 1.21229162601419 1.15145809202402 0.933759816664562 1.124685678304 1.01145400792676 0.987237638773431 0.991301062711546
"annenkov_letters" 1.29612428334499 1.07111231303025 0.890637139518338 1.17378599562558 0 0.894215122750887 0.984219557768161 1.3424867830218 1.15099986551176 0.865986126224332 1.07270369024135 1.26856361491583 1.07592500254115
"annenkov_notes1" 1.39464342584761 1.16374214671466 1.02061278928468 1.19472310556832 0.894215122750887 0 0.468644113237966 1.35600461667772 1.14234321008551 1.13097517489702 1.21044112958178 1.18518714502032 1.22935085667818
"annenkov_notes2" 1.41727881813452 1.24079489993819 1.06451968727745 1.21229162601419 0.984219557768161 0.468644113237966 0 1.4599001529092 1.21567617671703 1.18209335824614 1.28586576626242 1.31462671834927 1.27971149344384
"herzen_natura1" 1.14744352483857 1.28488031743876 1.37529076528384 1.15145809202402 1.3424867830218 1.35600461667772 1.4599001529092 0 0.603900360840024 1.14416160861657 0.955510974902161 1.15851025871381 1.0563270488353
"herzen_natura2" 1.05162808440712 1.08381177685064 1.18331675628042 0.933759816664562 1.15099986551176 1.14234321008551 1.21567617671703 0.603900360840024 0 0.890829852596661 0.797001162566215 1.0793009707478 0.95411765084507
"herzen_notes" 1.28693859492389 1.15327879164693 0.962312382530193 1.124685678304 0.865986126224332 1.13097517489702 1.18209335824614 1.14416160861657 0.890829852596661 0 0.887578975070031 1.31463019998892 1.07431342435613
"herzen_russkie" 1.14859352074523 1.11973315560005 1.16495681733046 1.01145400792676 1.07270369024135 1.21044112958178 1.28586576626242 0.955510974902161 0.797001162566215 0.887578975070031 0 1.17509742780005 1.09822856335547
"samarin_publ1" 1.14165700872942 0.919735802414307 1.17217926502489 0.987237638773431 1.26856361491583 1.18518714502032 1.31462671834927 1.15851025871381 1.0793009707478 1.31463019998892 1.17509742780005 0 0.735161254146288
"samarin_publ2" 0.998240659916354 0.924247109516504 1.18588376257435 0.991301062711546 1.07592500254115 1.22935085667818 1.27971149344384 1.0563270488353 0.95411765084507 1.07431342435613 1.09822856335547 0.735161254146288 0
