Source,Target,Weight,Type
bekhterev_bessmertie,bekhterev_licnost,6,undirected
bekhterev_bessmertie,bekhterev_vnushenie,2,undirected
bekhterev_bessmertie,ukhtomsky_dominant1,1,undirected
bekhterev_licnost,bekhterev_bessmertie,6,undirected
bekhterev_licnost,bekhterev_vnushenie,5,undirected
bekhterev_licnost,sechenov_reflexy1,1,undirected
bekhterev_licnost,ukhtomsky_dominant2,2,undirected
bekhterev_vnushenie,bekhterev_bessmertie,2,undirected
bekhterev_vnushenie,bekhterev_licnost,5,undirected
bekhterev_vnushenie,sechenov_reflexy1,2,undirected
bekhterev_vnushenie,sechenov_reflexy2,1,undirected
pavlov_otvet,pavlov_reflex,5,undirected
pavlov_otvet,pavlov_types,4,undirected
pavlov_otvet,sechenov_reflexy1,1,undirected
pavlov_otvet,sechenov_reflexy2,2,undirected
pavlov_reflex,pavlov_otvet,5,undirected
pavlov_reflex,pavlov_types,6,undirected
pavlov_reflex,sechenov_reflexy2,1,undirected
pavlov_types,pavlov_otvet,4,undirected
pavlov_types,pavlov_reflex,6,undirected
pavlov_types,sechenov_reflexy1,2,undirected
pavlov_types,sechenov_reflexy2,3,undirected
sechenov_reflexy1,bekhterev_licnost,1,undirected
sechenov_reflexy1,bekhterev_vnushenie,2,undirected
sechenov_reflexy1,pavlov_otvet,1,undirected
sechenov_reflexy1,pavlov_types,2,undirected
sechenov_reflexy1,sechenov_reflexy2,6,undirected
sechenov_reflexy1,ukhtomsky_dominant1,2,undirected
sechenov_reflexy1,ukhtomsky_dominant2,1,undirected
sechenov_reflexy2,bekhterev_vnushenie,1,undirected
sechenov_reflexy2,pavlov_otvet,2,undirected
sechenov_reflexy2,pavlov_reflex,1,undirected
sechenov_reflexy2,pavlov_types,3,undirected
sechenov_reflexy2,sechenov_reflexy1,6,undirected
sechenov_reflexy2,ukhtomsky_dominant1,1,undirected
ukhtomsky_dominant1,bekhterev_bessmertie,1,undirected
ukhtomsky_dominant1,sechenov_reflexy1,2,undirected
ukhtomsky_dominant1,sechenov_reflexy2,1,undirected
ukhtomsky_dominant1,ukhtomsky_dominant2,6,undirected
ukhtomsky_dominant2,bekhterev_licnost,2,undirected
ukhtomsky_dominant2,sechenov_reflexy1,1,undirected
ukhtomsky_dominant2,ukhtomsky_dominant1,6,undirected
