filename	author	title	year	genre	words	source
bekhterev_bessmertie.txt	В. М. Бехтерев	Бессмертие человеческой личности как научная проблема	1918	монография	10898	Викитека
bekhterev_licnost.txt	В. М. Бехтерев	ЛИЧНОСТЬ и УСЛОВИЯ её РАЗВИТИЯ И ЗДОРОВЬЯ	1905	монография	10352	Викитека
bekhterev_vnushenie.txt	В. М. Бехтерев	Внушение и его роль в общественной жизни (сокращенно)	1903	монография	15052	Электронная библиотека Института психотерапии и клинической психологии
pavlov_otvet.txt	И. П. Павлов	Ответ физиолога психологам	1932	статья	9702	Викитека
pavlov_reflex.txt	И. П. Павлов	Условный рефлекс, Естествознание и мозг	1935, 1909	статьи	9836	lib.ru
pavlov_types.txt	И. П. Павлов	Общие типы высшей нервной деятельности животных и человека, Естественнонаучное изучение так называемой душевной деятельности высших животных	1935, 1906	статьи	11712	lib.ru
sechenov_reflexy1.txt	И. М. Сеченов	Рефлексы головного мозга	1863	монография	15822	studfile
sechenov_reflexy2.txt	И. М. Сеченов	Рефлексы головного мозга	1863	монография	17242	studfile
ukhtomsky_dominant1.txt	А. А. Ухтомский	Доминанта как рабочий принцип нервных центров, Доминанта и интегральный образ, О хронотопе, О состоянии возбуждения в доминанте	1923, 1924, 1925, 1926	статьи	13762	alterozoom.com
ukhtomsky_dominant2.txt	А. А. Ухтомский	Парабиоз и доминанта, Доминанта как фактор поведения	1927, 1927	статьи	17011	alterozoom.com
