"bekhterev_bessmertie" "bekhterev_licnost" "bekhterev_vnushenie" "pavlov_otvet" "pavlov_reflex" "pavlov_types" "sechenov_reflexy1" "sechenov_reflexy2" "ukhtomsky_dominant1" "ukhtomsky_dominant2"
"bekhterev_bessmertie" 0 0.848912572754057 1.14460536556709 1.28162062460977 1.31555421343579 1.30660218881107 1.27311366729265 1.24286847733978 1.2355968125082 1.30544086519648
"bekhterev_licnost" 0.848912572754057 0 1.00586814141003 1.27434790334106 1.21345315390418 1.26469342159848 1.10879201625151 1.1957067530487 1.22330172633103 1.11325290340174
"bekhterev_vnushenie" 1.14460536556709 1.00586814141003 0 1.28690396582396 1.23026245445388 1.17026907104101 1.12027389963158 1.13771406627068 1.23446869675639 1.20534153563689
"pavlov_otvet" 1.28162062460977 1.27434790334106 1.28690396582396 0 0.854924952247157 0.874155269919593 1.07188260047489 0.992245412097161 1.23996023271143 1.26862251193149
"pavlov_reflex" 1.31555421343579 1.21345315390418 1.23026245445388 0.854924952247157 0 0.685316571743272 1.09103069501797 1.0067766059087 1.26357011858226 1.25090445825278
"pavlov_types" 1.30660218881107 1.26469342159848 1.17026907104101 0.874155269919593 0.685316571743272 0 1.04795202420394 0.961924788367277 1.30319087704401 1.2693555670812
"sechenov_reflexy1" 1.27311366729265 1.10879201625151 1.12027389963158 1.07188260047489 1.09103069501797 1.04795202420394 0 0.712034344183185 1.10527466848579 1.14250079419485
"sechenov_reflexy2" 1.24286847733978 1.1957067530487 1.13771406627068 0.992245412097161 1.0067766059087 0.961924788367277 0.712034344183185 0 1.19683511826696 1.14286293355401
"ukhtomsky_dominant1" 1.2355968125082 1.22330172633103 1.23446869675639 1.23996023271143 1.26357011858226 1.30319087704401 1.10527466848579 1.19683511826696 0 0.756632612716336
"ukhtomsky_dominant2" 1.30544086519648 1.11325290340174 1.20534153563689 1.26862251193149 1.25090445825278 1.2693555670812 1.14250079419485 1.14286293355401 0.756632612716336 0
