file	status	sousce	words	features
gener_nekrasov_t0.1.txt	Сгенерировано	model_1	9502	Температура: 0.1
gener_nekrasov_t0.3.txt	Сгенерировано	model_1	9687	Температура: 0.3
gener_nekrasov_t0.5.txt	Сгенерировано	model_1	9450	Температура: 0.5
gener_nekrasov_t0.7.txt	Сгенерировано	model_1	9257	Температура: 0.7
gener_nekrasov_t1.txt	Сгенерировано	model_1	9127	Температура: 1
gener_mandelshtam_t0.1.txt	Сгенерировано	model_2	7831	Температура: 0.1
gener_mandelshtam_t0.3.txt	Сгенерировано	model_2	8577	Температура: 0.3
gener_mandelshtam_t0.5.txt	Сгенерировано	model_2	8592	Температура: 0.5
gener_mandelshtam_t0.7.txt	Сгенерировано	model_2	8603	Температура: 0.7
gener_mandelshtam_t1.txt	Сгенерировано	model_2	8610	Температура: 1
natur_nekrasov_b1.txt	Естественного происхождения	lib.ru	9343	N/A
natur_nekrasov_b2.txt	Естественного происхождения	lib.ru	9159	N/A
natur_nekrasov_b3.txt	Естественного происхождения	lib.ru	9517	N/A
natur_nekrasov_b4.txt	Естественного происхождения	lib.ru	9527	N/A
natur_nekrasov_b5.txt	Естественного происхождения	lib.ru	9570	N/A
natur_nekrasov_b6.txt	Естественного происхождения	lib.ru	11436	N/A
natur_nekrasov_b7.txt	Естественного происхождения	lib.ru	8958	N/A
natur_nekrasov_b8.txt	Естественного происхождения	lib.ru	9919	N/A
natur_nekrasov_b9.txt	Естественного происхождения	lib.ru	9931	N/A
natur_nekrasov_b10.txt	Естественного происхождения	lib.ru	9231	N/A
natur_nekrasov_b11.txt	Естественного происхождения	lib.ru	9975	N/A
natur_nekrasov_b12.txt	Естественного происхождения	lib.ru	10570	N/A
natur_mandelshtam_b1.txt	Естественного происхождения	N/A	12872	N/A
natur_mandelshtam_b2.txt	Естественного происхождения	N/A	9393	N/A
natur_mandelshtam_b3.txt	Естественного происхождения	N/A	9229	N/A
natur_mandelshtam_b4.txt	Естественного происхождения	N/A	8452	N/A
