Source,Target,Weight,Type
berdyaev_nerav,berdyaev_smysl,6,undirected
berdyaev_nerav,berdyaev_smysl2,4,undirected
berdyaev_nerav,solovjev_opravdanie,2,undirected
berdyaev_smysl,berdyaev_nerav,6,undirected
berdyaev_smysl,berdyaev_smysl2,4,undirected
berdyaev_smysl,florensky_stolp,1,undirected
berdyaev_smysl2,berdyaev_nerav,4,undirected
berdyaev_smysl2,berdyaev_smysl,4,undirected
berdyaev_smysl2,solovjev_opravdanie,1,undirected
fedorov_samoderzhavie,fedorov_vopros,6,undirected
fedorov_samoderzhavie,florensky_vodorazdely,2,undirected
fedorov_samoderzhavie,solovjev_opravdanie,1,undirected
fedorov_vopros,fedorov_samoderzhavie,6,undirected
fedorov_vopros,florensky_stolp,2,undirected
fedorov_vopros,solovjev_opravdanie,3,undirected
florensky_stolp,berdyaev_smysl,1,undirected
florensky_stolp,fedorov_vopros,2,undirected
florensky_stolp,florensky_vodorazdely,6,undirected
florensky_stolp,lenin_mat,1,undirected
florensky_stolp,solovjev_nachala,1,undirected
florensky_stolp,solovjev_opravdanie,4,undirected
florensky_vodorazdely,fedorov_samoderzhavie,2,undirected
florensky_vodorazdely,florensky_stolp,6,undirected
florensky_vodorazdely,lenin_imp,3,undirected
florensky_vodorazdely,lenin_mat,4,undirected
florensky_vodorazdely,solovjev_nachala,2,undirected
florensky_vodorazdely,solovjev_opravdanie,5,undirected
lenin_imp,florensky_vodorazdely,3,undirected
lenin_imp,lenin_mat,2,undirected
lenin_imp,solovjev_opravdanie,1,undirected
lenin_mat,florensky_stolp,1,undirected
lenin_mat,florensky_vodorazdely,4,undirected
lenin_mat,lenin_imp,2,undirected
lenin_mat,solovjev_opravdanie,2,undirected
solovjev_nachala,florensky_stolp,1,undirected
solovjev_nachala,florensky_vodorazdely,2,undirected
solovjev_nachala,solovjev_opravdanie,3,undirected
solovjev_opravdanie,berdyaev_nerav,2,undirected
solovjev_opravdanie,berdyaev_smysl2,1,undirected
solovjev_opravdanie,fedorov_samoderzhavie,1,undirected
solovjev_opravdanie,fedorov_vopros,3,undirected
solovjev_opravdanie,florensky_stolp,4,undirected
solovjev_opravdanie,florensky_vodorazdely,5,undirected
solovjev_opravdanie,lenin_imp,1,undirected
solovjev_opravdanie,lenin_mat,2,undirected
solovjev_opravdanie,solovjev_nachala,3,undirected
