filename	author	title	year	genre	words	source
berdyaev_smysl.txt	Н. А. Бердяев	Смысл творчества	1927	очерк	99443	Викитека
berdyaev_nerav.txt	Н. А. Бердяев	Философия неравенства	1929	очерк	75988	lib.ru
berdyaev_smysl2.txt	Н. А. Бердяев	Смысл истории	1920	очерк	56195	lib.ru
solovjev_nachala.txt	В. С. Соловьев	Философские начала цельного знания	1877	очерк	58729	azbyka.ru
solovjev_opravdanie.txt	В. С. Соловьев	Оправдание добра	1897	очерк	138246	Викитека
lenin_mat.txt	В. И. Ленин	Материализм и эмпириокритицизм	1909	очерк	97775	Викитека
lenin_imp.txt	В. И. Ленин	Империализм, как высшая стадия капитализма	1917	очерк	28647	Викитека
fedorov_vopros.txt	Н. Ф. Федоров	Вопрос о братстве, или родстве, о причинах небратского, неродственного, т. е. немирного, состояния мира и о средствах к восстановлению родства	1878-1893	очерк	97839	Федоров Н. Ф. Собрание сочинений: В 4-х тт. / Составление, подготовка текста и комментарии А. Г. Гачевой и С. Г. Семеновой. — М.: Издательская группа «Прогресс», 1995. — Т. I. — 518 с
fedorov_samoderzhavie.txt	Н. Ф. Федоров	Самодержавие	1895	очерк	18051	Федоров Н. Ф. Собрание сочинений: В 4-х тт. / Составление, подготовка текста и комментарии А. Г. Гачевой и С. Г. Семеновой. — М.: Издательская группа «Прогресс», 1995. — Т. II. — 498 с.
florensky_stolp.txt	Павел Флоренский	Столп и утверждение истины	1914	трактат	84192	azbyka.ru
florensky_vodorazdely.txt	Павел Флоренский	У водоразделов мысли. Том 1	1917–1926	трактат	134867	azbyka.ru
