"berdyaev_nerav" "berdyaev_smysl" "berdyaev_smysl2" "fedorov_samoderzhavie" "fedorov_vopros" "florensky_stolp" "florensky_vodorazdely" "lenin_imp" "lenin_mat" "solovjev_nachala" "solovjev_opravdanie"
"и" 5.85776265643339 4.85125580360304 4.24573646170826 4.85399019170753 4.47410055682262 4.63634392541377 4.28400308234594 3.8364872856298 3.8140282737163 4.05029600941771 4.68925692978447
"в" 3.17284487874352 3.89637976552938 4.03567486737637 3.85086937137762 3.27004869629538 2.69339179455058 3.21357452944632 3.81061502069781 2.74488922299484 2.82701789705355 2.95182339840548
"не" 2.27083910274162 2.26681906919817 1.67159183964112 2.17900133749443 2.52933078551028 1.89356525090944 1.69834209462192 0.909225310467179 1.67575017227338 1.71804889700237 2.08999833148346
"что" 0.578918911790692 0.64939662758823 1.24078755296044 0.863798484172983 0.874273151287267 1.21178539593823 0.823993469088801 0.761383796570077 1.52018208774458 1.1789193523621 1.05406719043577
"как" 0.425947172000897 0.798090247923853 0.770819240217894 1.02541239411502 1.02734800386283 1.12264810041196 0.918600126650848 0.547013601419279 0.848837937731003 1.78799924931329 1.0395583509253
"с" 0.663317113054028 0.602866651156674 1.02716559262292 0.691038787338386 0.753046086831453 0.573369630682503 1.16732408120913 1.33426966292135 0.95324604815302 0.66196918772286 0.858197857044404
"к" 0.855850509686012 0.954876038073659 1.06098906967636 0.958537672759697 0.989336127719904 0.640824881351032 0.637831981627997 0.805736250739208 0.76948777381027 0.697797416955283 0.763890400226338
"есть" 1.01937202463373 1.20472178108658 0.815323815288212 0.735621934908605 0.620518194333148 0.595051675540244 0.540173496402658 0.206978119455943 0.608699283760363 1.67710234930817 0.666681175506177
"на" 0.801782912001688 0.527002559148704 0.747676861181329 0.986402139991083 0.805440835028458 0.814281240212966 0.877400453196408 1.04967474866943 0.801854288041095 0.429938750789074 0.726892859474635
"а" 0.404847621685063 0.636246851640182 0.302631110478157 1.05327686134641 1.03967617990918 0.796212869498181 0.875111582448939 0.528533412182141 0.575288688425317 0.810400423114326 0.836434597778697
"но" 0.727934485896269 0.711099422421379 0.485989959767864 0.445831475702185 0.600998582259755 0.809463008022357 0.785845623297652 0.354819633353046 0.448954874814676 0.713152372340607 0.787104543443093
"или" 0.17407129010563 0.168924044871082 0.131733542208139 0.646455639768168 0.512646653927551 0.468573080536751 0.525677315002022 0.365907746895328 0.53352544425651 1.98761366932251 1.01561876573302
"то" 0.249238438105788 0.294352676990927 0.676469541068822 0.334373606776638 0.469498037765313 0.808258449974704 0.589002739015328 0.273506800709639 0.5951262294055 1.32052616313787 0.649270568093611
"от" 0.551225752001161 0.628154681825998 0.414782639655357 0.679893000445831 0.67907703055333 0.554096701920066 0.40665603613364 0.428740390301597 0.646286203512289 0.571545561564841 0.615174795244002
"для" 0.498476876211576 0.426861957698182 0.63552533200413 0.925100312082033 0.694487250611272 0.47339131272736 0.220494548672836 0.428740390301597 0.35811981874752 0.602255472335489 0.710933136013116
"его" 0.427265893895636 0.520933431788066 0.393420443621604 0.328800713330361 0.35957180135199 0.605892697969115 0.568402902288108 0.229154346540509 0.389442251874126 0.701209629263133 0.612998469317432
"же" 0.249238438105788 0.309525495392521 0.18513903229252 0.551716451181453 0.763319566870082 0.660097810113469 0.516521832012146 0.229154346540509 0.438514063772474 0.818930953883951 0.481693471747662
"это" 0.429903337685116 0.327732877474434 0.797521985260085 0.401248328131966 0.493127041854158 0.523982750728758 0.459300063325424 0.325251330573625 0.555451147445134 0.460648661559722 0.435990627289676
"по" 0.272975432211101 0.358078514277622 0.334674404528786 0.512706197057512 0.439704945653291 0.47339131272736 0.614180317237486 0.476788882318155 0.460439766961098 0.711446266186682 0.502005847062323
"только" 0.179346177684588 0.245799658105825 0.3506960515541 0.445831475702185 0.738663214777374 0.354140066009781 0.29602728333931 0.269810762862212 0.431205496042933 1.04072475389419 0.716736671817305
"о" 0.270337988421622 0.400562405802086 0.357816783565351 0.49598751671868 0.626682282356325 0.504709821966321 0.534069841076074 0.325251330573625 0.59094990498862 0.281507515397608 0.267688088968204
"из" 0.387704237053448 0.367182205318579 0.318652757503471 0.312082032991529 0.365735889375167 0.408345178154135 0.45319640799884 0.624630396215257 0.453131199231556 0.412877689249825 0.367073639614935
"бы" 0.257150769474226 0.201292724127816 0.283049097447218 0.43468568880963 0.476689473792352 0.339685369437953 0.345619482867802 0.277202838557067 0.29860719580697 0.351457867708529 0.44687225692253
"быть" 0.419353562527199 0.460242158181689 0.268807633424716 0.35109228711547 0.376009369413795 0.304753186056036 0.306708680160831 0.066528681253696 0.216124788573576 0.470885298483272 0.359093777884176
"все" 0.332317917474384 0.35403242937053 0.402321358635668 0.295363352652697 0.310259097166574 0.446891035679009 0.286871800349434 0.121969248965109 0.29547495249431 0.397522733864501 0.327174330961138
"он" 0.451002888000949 0.338859610968936 0.375618613593477 0.211769950958538 0.21060634079188 0.375822110867523 0.266271963622214 0.155233589591957 0.456263442544217 0.182553358469964 0.318469027254855
"может" 0.474739882106263 0.373251332679216 0.234984156371275 0.356665180561748 0.303067661139534 0.254161748054639 0.233464816241827 0.0924009461856889 0.188978679863852 0.532305120024568 0.375778943321218
"т" 0.055386319579064 0.126440153346618 0.0427243920675045 0.668747213553277 0.648256590437445 0.393890481582307 0.312049378571592 0.439828503843879 0.513687903276327 0.0545953969255967 0.220534360559171
"так" 0.154290461684535 0.203315766581362 0.16555701926158 0.278644672313865 0.298958269124083 0.360162856248043 0.330360344551343 0.236546422235364 0.228653761824219 0.513537952331394 0.385209689003025
"человека" 0.48528965726418 0.871931297478278 0.694271371096949 0.0390102541239412 0.0975980603669687 0.0987737599074899 0.0862141314879949 0.00739207569485511 0.139906867965504 0.0597137153873714 0.267688088968204
