"lidiya_1" "lidiya_2" "telyatev_1" "telyatev_2"
"не" 3.5964035964036 3.17693059628543 3.41077607513594 3.41130604288499
"я" 3.04695304695305 3.56793743890518 2.42214532871972 2.04678362573099
"и" 2.2977022977023 1.80840664711632 2.17498764211567 3.26510721247563
"что" 2.997002997003 1.66177908113392 2.47157686604053 2.29044834307992
"вы" 3.4965034965035 2.1505376344086 1.97726149283243 0.730994152046784
"в" 0.949050949050949 1.71065493646139 1.87839841819081 1.85185185185185
"а" 1.04895104895105 0.879765395894428 1.58180919426594 1.94931773879142
"меня" 0.899100899100899 1.90615835777126 1.18635689569946 1.31578947368421
"мне" 1.3986013986014 1.90615835777126 0.444883835887296 0.925925925925926
"на" 0.749250749250749 1.17302052785924 1.43351458230351 0.87719298245614
"с" 0.799200799200799 0.83088954056696 1.3840830449827 1.16959064327485
"он" 1.04895104895105 1.36852394916911 0.692041522491349 0.87719298245614
"у" 0.44955044955045 1.36852394916911 0.543746910528917 1.55945419103314
"это" 0.949050949050949 0.439882697947214 1.28521997034108 0.828460038986355
"как" 0.699300699300699 0.684261974584555 1.13692535837865 0.682261208576998
"же" 1.0989010989011 0.391006842619746 0.74147305981216 0.925925925925926
"то" 0.749250749250749 0.342130987292278 1.03806228373702 1.0233918128655
"за" 1.04895104895105 0.782013685239492 0.642609985170539 0.633528265107212
"так" 0.949050949050949 0.684261974584555 0.840336134453782 0.633528265107212
"вас" 1.1988011988012 1.0752688172043 0.444883835887296 0.292397660818713
"да" 0.549450549450549 0.244379276637341 1.28521997034108 0.584795321637427
"все" 0.549450549450549 0.928641251221896 0.197726149283243 0.87719298245614
"нет" 0.849150849150849 0.83088954056696 0.543746910528917 0.292397660818713
"вам" 0.649350649350649 0.391006842619746 0.988630746416214 0.341130604288499
"ну" 0.34965034965035 0.391006842619746 0.988630746416214 0.584795321637427
"вот" 0.2997002997003 0.293255131964809 0.988630746416214 0.633528265107212
"мы" 0.44955044955045 0.635386119257087 0.296589223924864 0.633528265107212
"ты" 0.1998001998002 0.0488758553274682 0.444883835887296 1.07212475633528
"но" 0.699300699300699 0.488758553274682 0.148294611962432 0.341130604288499
"только" 0.34965034965035 0.293255131964809 0.494315373208107 0.487329434697856
"его" 0.1998001998002 0.635386119257087 0.395452298566485 0.341130604288499
"еще" 0.1998001998002 0.342130987292278 0.494315373208107 0.487329434697856
"ли" 0.24975024975025 0.244379276637341 0.840336134453782 0.194931773879142
"уж" 0.24975024975025 0.293255131964809 0.494315373208107 0.487329434697856
"по" 0.1998001998002 0.146627565982405 0.74147305981216 0.292397660818713
"бы" 0.2997002997003 0.391006842619746 0.395452298566485 0.146198830409357
"если" 0.599400599400599 0.0977517106549365 0.296589223924864 0.243664717348928
"к" 0.34965034965035 0.342130987292278 0.148294611962432 0.389863547758285
"очень" 0.44955044955045 0.0977517106549365 0.395452298566485 0.292397660818713
"чем" 0.44955044955045 0.342130987292278 0.148294611962432 0.292397660818713
"для" 0.24975024975025 0.391006842619746 0.346020761245675 0.146198830409357
"или" 0.3996003996004 0.342130987292278 0.296589223924864 0.0974658869395711
"будет" 0.2997002997003 0.195503421309873 0.0988630746416213 0.487329434697856
"из" 0.24975024975025 0.244379276637341 0.346020761245675 0.243664717348928
"много" 0.2997002997003 0.244379276637341 0.148294611962432 0.389863547758285
"нас" 0.24975024975025 0.342130987292278 0.247157686604053 0.243664717348928
