"30_masalskiy" "30_veltman" "50_begichev" "50_pogorelsky"
"и" 3.59902016205012 4.33327227005512 4.45797329143755 3.23618598382749
"в" 2.75862068965517 2.49138175096175 2.65121759622938 2.64824797843666
"не" 1.824006029772 1.53213316235615 2.12342890809112 2.62803234501348
"на" 1.74863387978142 2.0334071643879 1.13658680282797 1.38645552560647
"что" 1.37177312982853 0.597865005745499 1.8975844461901 1.94743935309973
"с" 1.27755794234031 1.32562825786467 1.59564021995287 1.36118598382749
"он" 1.0552100998681 0.870984395556814 1.26669285153181 1.13039083557951
"его" 0.814019219898248 0.869319033423818 0.932835820895522 0.859164420485175
"к" 0.712266817410967 0.696121371592253 0.923016496465043 0.786725067385445
"я" 1.12681364235915 0.333072426599164 0.861645718774548 0.897911051212938
"как" 0.636894667420388 0.662814128932336 0.59652395915161 0.663746630727763
"а" 0.565291124929339 0.985894382733525 0.0638256087981147 0.630053908355795
"ее" 0.403241002449595 0.303095908205239 0.652985074626866 0.913072776280323
"она" 0.233653664970793 0.251469682082369 0.655439905734486 1.00909703504043
"но" 0.24495948746938 0.451313138041867 0.807639434406913 0.673854447439353
"по" 0.535142264933107 0.612853264942462 0.515514532600157 0.493598382749326
"за" 0.648200489918975 0.597865005745499 0.434505106048704 0.411051212938005
"от" 0.425852647446768 0.476293570036805 0.498330714846819 0.461590296495957
"то" 0.62935745242133 0.369710393525072 0.471327572663001 0.491913746630728
"из" 0.572828339928396 0.514596899095708 0.35595051060487 0.44811320754717
"все" 0.433389862445826 0.364714307126085 0.711901021209741 0.224056603773585
"о" 0.214810627473149 0.264792579146335 0.277395915161037 0.569407008086253
"у" 0.471075937441116 0.394690825520009 0.0417321288295365 0.427897574123989
"ему" 0.282645562464669 0.321414891668193 0.368224666142969 0.328504043126685
"да" 0.354249104955719 0.394690825520009 0.149744697564808 0.338611859838275
"было" 0.237422272470322 0.168201575432578 0.498330714846819 0.363881401617251
"это" 0.346711889956661 0.133228970639666 0.400137470542027 0.399258760107817
"так" 0.31656302996043 0.124902159974686 0.324037706205813 0.454851752021563
"ты" 0.610514414923686 0.253135044215365 0.314218381775334 0.188679245283019
"же" 0.403241002449595 0.196512731693507 0.299489395129615 0.306603773584906
"мне" 0.320331637459959 0.159874764767599 0.341221523959152 0.320080862533693
"еще" 0.192198982475975 0.171532299698569 0.348586017282011 0.33355795148248
"был" 0.31656302996043 0.196512731693507 0.341221523959152 0.256064690026954
"бы" 0.354249104955719 0.164870851166586 0.198841319717203 0.352088948787062
"ни" 0.214810627473149 0.258131130614352 0.154654359780047 0.347035040431267
"меня" 0.403241002449595 0.124902159974686 0.24302827965436 0.262803234501348
"их" 0.192198982475975 0.143221143437641 0.299489395129615 0.298180592991914
"уже" 0.0602977199924628 0.281446200476294 0.260212097407698 0.240902964959569
"только" 0.256265309967967 0.216497077289457 0.24057344854674 0.21900269541779
"когда" 0.192198982475975 0.176528386097557 0.11783189316575 0.370619946091644
"до" 0.229885057471264 0.199843455959498 0.186567164179104 0.272911051212938
"они" 0.184661767476917 0.164870851166586 0.152199528672427 0.33355795148248
"ей" 0.120595439984926 0.0816027445167952 0.208660644147683 0.368935309973046
"ли" 0.286414169964198 0.188185921028528 0.137470542026709 0.21900269541779
"него" 0.173355944978331 0.186520558895532 0.198841319717203 0.222371967654987
"ива" 0 0.58953819508052 0.0024548311076198 0
"для" 0.199736197475033 0.0982563658467534 0.24548311076198 0.227425876010782
"сказал" 0.327868852459016 0.171532299698569 0.169383346425766 0.131401617250674
"вы" 0.0716035424910496 0.0549569503888621 0.211115475255302 0.331873315363881
"была" 0.143207084982099 0.083268106649791 0.220934799685782 0.247641509433962
"себя" 0.169587337478802 0.129898246373674 0.233208955223881 0.131401617250674
"вот" 0.158281514980215 0.24314287141739 0.0810094265514533 0.12466307277628
"тем" 0.0942151874882231 0.0849334687827868 0.228299293008641 0.205525606469003
"во" 0.135669869983041 0.186520558895532 0.166928515318146 0.102762803234501
"тебе" 0.237422272470322 0.15154795410262 0.157109190887667 0.0909703504043127
"были" 0.116826832485397 0.0965910037137576 0.216025137470542 0.153301886792453
"между" 0.0791407574901074 0.13156360850667 0.11537706205813 0.203840970350404
"ним" 0.10552100998681 0.149882591969624 0.164473684210526 0.133086253369272
"без" 0.158281514980215 0.116575349309707 0.135015710919089 0.160040431266846
"или" 0.113058224985868 0.166536213299582 0.12028672427337 0.131401617250674
"чтоб" 0.0339174674957603 0.108248538644728 0.012274155538099 0.299865229110512
"быть" 0.0866779724891653 0.064949123186837 0.203750981932443 0.185309973045822
"нет" 0.184661767476917 0.143221143437641 0.12519638648861 0.112870619946092
"время" 0.128132654983983 0.0965910037137576 0.159564021995287 0.160040431266846
"себе" 0.0866779724891653 0.108248538644728 0.179202670856245 0.153301886792453
"мы" 0.143207084982099 0.0782720202508035 0.186567164179104 0.151617250673854
"под" 0.0678349349915206 0.273119389811314 0.0515514532600157 0.0758086253369272
"несколько" 0.143207084982099 0.0699452095858244 0.198841319717203 0.139824797843666
"будет" 0.169587337478802 0.0816027445167952 0.139925373134328 0.146563342318059
"где" 0.188430374976446 0.153213316235615 0.0859190887666929 0.101078167115903
"при" 0.109289617486339 0.0499608639898746 0.130106048703849 0.210579514824798
"со" 0.150744299981157 0.121571435708695 0.144835035349568 0.109501347708895
"того" 0.124364047484454 0.046630139723883 0.189021995286724 0.154986522911051
"свою" 0.101752402487281 0.138225057038653 0.12028672427337 0.111185983827493
"который" 0.150744299981157 0.11157926291072 0.135015710919089 0.1044474393531
"своего" 0.120595439984926 0.13156360850667 0.132560879811469 0.0960242587601078
"день" 0.0866779724891653 0.126567522107682 0.132560879811469 0.111185983827493
"после" 0.120595439984926 0.0549569503888621 0.225844461901021 0.1044474393531
"тебя" 0.222347842472207 0.113244625043716 0.137470542026709 0.0555929919137466
"если" 0.203504804974562 0.0549569503888621 0.0417321288295365 0.183625336927224
"теперь" 0.158281514980215 0.0449647775908871 0.144835035349568 0.143194070080863
