"slav_aksakov" "slav_kavelin" "slav_khomyakov" "slav_kireevsky" "slav_samarin" "west_annenkov" "west_belinsky" "west_granovsky1" "west_granovsky2" "west_herzen1"
"slav_aksakov" 0 1.31822534222481 1.19403088902066 1.10391671018908 0.934151986549123 0.988442966115349 1.00697346882007 1.33127986142344 1.39955958787002 1.1781723700227
"slav_kavelin" 1.31822534222481 0 0.985048848574382 1.21769456673555 1.03147771377203 1.15109233496117 1.14191940839562 1.07023000307205 1.18091791024197 0.979164973801956
"slav_khomyakov" 1.19403088902066 0.985048848574382 0 1.19225111315528 1.26378811276747 1.19207919186326 1.31396712434817 1.22048466213921 1.26300573782829 1.16809678002261
"slav_kireevsky" 1.10391671018908 1.21769456673555 1.19225111315528 0 1.13669592881045 1.09879576915667 1.2065096245284 1.27133271722378 1.32635787948364 1.24316367507074
"slav_samarin" 0.934151986549123 1.03147771377203 1.26378811276747 1.13669592881045 0 1.06321334600599 0.88947110251796 1.27319566146369 1.38417256591234 0.97051926582736
"west_annenkov" 0.988442966115349 1.15109233496117 1.19207919186326 1.09879576915667 1.06321334600599 0 0.915410171599807 1.09011265343284 1.1203810238901 1.09188442758352
"west_belinsky" 1.00697346882007 1.14191940839562 1.31396712434817 1.2065096245284 0.88947110251796 0.915410171599807 0 1.2686573628219 1.37072432926404 1.01206299312359
"west_granovsky1" 1.33127986142344 1.07023000307205 1.22048466213921 1.27133271722378 1.27319566146369 1.09011265343284 1.2686573628219 0 0.531502965734796 1.24338279924945
"west_granovsky2" 1.39955958787002 1.18091791024197 1.26300573782829 1.32635787948364 1.38417256591234 1.1203810238901 1.37072432926404 0.531502965734796 0 1.35997201416326
"west_herzen1" 1.1781723700227 0.979164973801956 1.16809678002261 1.24316367507074 0.97051926582736 1.09188442758352 1.01206299312359 1.24338279924945 1.35997201416326 0
