"slav_aksakov" "slav_kavelin" "slav_khomyakov" "slav_kireevsky" "slav_samarin" "west_annenkov" "west_belinsky" "west_granovsky1" "west_granovsky2" "west_herzen1"
"и" 4.65673100415343 4.50095645324631 5.65679246912514 3.72572902486208 4.15993008520865 4.21961160393191 4.43573344336703 3.06062665510534 2.92099176081513 4.15360501567398
"в" 3.36672367456633 3.13379093057275 3.08316780378271 3.26717776026367 3.25540747214333 2.82306401342604 3.61048070971735 3.46839774085444 3.68182600217927 3.18377742946708
"не" 2.41876374297581 2.08731855519298 1.76181017359012 1.69807265171598 2.40769062704828 1.17777511388156 2.27976067670724 1.50453469569497 1.48152396245532 2.2923197492163
"на" 0.94795993159052 1.13086530887814 1.07090422316262 0.838289030593967 1.09678828927245 1.35159434188444 1.00061893955024 1.19987813737667 1.33815067576609 1.11677115987461
"что" 1.03102858538969 0.765162597051874 0.664996977286467 0.845453894103317 1.59056150316801 1.12383121553584 1.6195584897875 0.752267347847484 0.800978761637132 1.38126959247649
"с" 0.90398240899096 0.917069877348937 0.794541842991623 0.737980941463065 0.838977496176535 1.1088467993287 0.866515370332164 1.06161093013991 1.09728355412819 0.920846394984326
"но" 0.781822623992182 0.731405423652526 1.03635892564125 0.823959303575267 0.712256936858204 0.449532486214337 0.742727460284712 1.07098497808816 1.08007875972549 0.813087774294671
"он" 0.278524309797215 0.540114774389558 0.328180326453062 0.315253994411406 0.546209307406598 0.350635339247183 0.381679389312977 1.13894682571301 1.53122670184091 0.401645768025078
"его" 0.454434400195456 0.787667379318105 0.639088004145436 0.902772802178119 1.07057024251693 0.518460800767202 0.484835981019187 0.768671931756931 1.04949245856512 0.528996865203762
"к" 0.723185927192768 0.540114774389558 0.768632869850592 0.652002579350863 0.589906051999126 0.638336130424359 0.649886527749123 0.604626092662464 0.724513008736212 0.568181818181818
"как" 0.767163449792328 0.607629121188253 0.414543570256499 0.623343125313463 0.686038890102687 0.764205226564373 0.484835981019187 0.360900846007827 0.305863011603678 0.783699059561129
"из" 0.4300024431957 0.39945988522561 0.388634597115468 0.730816077953715 0.519991260651081 0.479501318628626 0.546729936042913 0.508542101192848 0.573493146756896 0.323275862068966
"было" 0.263865135597361 0.585124338922021 0.518179462820624 0.329583721430107 0.367052654577234 0.188803644210022 0.278522797606767 0.670244428300251 0.649958899657816 0.421238244514107
"это" 0.498411922795016 0.326319342860358 0.164090163226531 0.150462133696353 0.511251911732576 0.52445456725006 0.495151640189808 0.53432073305055 0.454971229760471 0.391849529780564
"от" 0.55704861959443 0.382581298525937 0.587270057863373 0.523035036182561 0.419488748088267 0.371613521937185 0.226944501753662 0.501511565231656 0.355565750989276 0.636755485893417
"по" 0.669435621793306 0.500731405423653 0.535452111581311 0.293759403883356 0.384531352414245 0.479501318628626 0.443573344336703 0.330435190175998 0.324979449828908 0.235109717868339
"был" 0.0586366967994136 0.303814560594126 0.37136194835478 0.207781041771154 0.0873934891850557 0.131862862622872 0.134103569218073 0.614000140610719 0.867886295425436 0.205721003134796
"то" 0.498411922795016 0.410712276358726 0.328180326453062 0.422726947051659 0.633602796591654 0.371613521937185 0.422942025995461 0.288251974408849 0.307774655426201 0.705329153605016
"они" 0.361592963596384 0.725779228085968 0.241817082649624 0.322418857920757 0.406379724710509 0.206784943658595 0.484835981019187 0.372618405943146 0.393798627439735 0.832680250783699
