Source,Target,Weight,Type
lnt_detstvo,lnt_kugushev,2,undirected
lnt_detstvo,lnt_otrochestvo,6,undirected
lnt_detstvo,sta_aksakov,3,undirected
lnt_detstvo,sta_lazhechnikov,1,undirected
lnt_detstvo,sta_senkovsky,1,undirected
lnt_druzhinin,lnt_otrochestvo,1,undirected
lnt_druzhinin,sta_aksakov,5,undirected
lnt_druzhinin,sta_lazhechnikov,2,undirected
lnt_druzhinin,sta_senkovsky,5,undirected
lnt_kugushev,lnt_detstvo,2,undirected
lnt_kugushev,lnt_mikhaylov,1,undirected
lnt_kugushev,lnt_otrochestvo,3,undirected
lnt_mikhaylov,lnt_kugushev,1,undirected
lnt_mikhaylov,lnt_otrochestvo,4,undirected
lnt_mikhaylov,sta_aksakov,1,undirected
lnt_mikhaylov,sta_lazhechnikov,5,undirected
lnt_otrochestvo,lnt_detstvo,6,undirected
lnt_otrochestvo,lnt_druzhinin,1,undirected
lnt_otrochestvo,lnt_kugushev,3,undirected
lnt_otrochestvo,lnt_mikhaylov,4,undirected
sta_aksakov,lnt_detstvo,3,undirected
sta_aksakov,lnt_druzhinin,5,undirected
sta_aksakov,lnt_mikhaylov,1,undirected
sta_aksakov,sta_lazhechnikov,6,undirected
sta_aksakov,sta_senkovsky,2,undirected
sta_lazhechnikov,lnt_detstvo,1,undirected
sta_lazhechnikov,lnt_druzhinin,2,undirected
sta_lazhechnikov,lnt_mikhaylov,5,undirected
sta_lazhechnikov,sta_aksakov,6,undirected
sta_senkovsky,lnt_detstvo,1,undirected
sta_senkovsky,lnt_druzhinin,5,undirected
sta_senkovsky,sta_aksakov,2,undirected
