filename	author	title	year	genre	words	source
prose_lermontov1.txt	М. Ю. Лермонтов	Герой нашего времени	1840	роман	38546	М. Ю. Лермонтов Собрание сочинений: В 4 т.. — Л.: Наука. Ленингр. отд-ние, 1979—1981
prose_lermontov2.txt	М. Ю. Лермонтов	Вадим	1832—1834	роман	32391	М. Ю. Лермонтов Собрание сочинений: В 4 т.. — Л.: Наука. Ленингр. отд-ние, 1979—1981
prose_pushkin.txt	А. С. Пушкин	Капитанская дочка	1832—1836	роман	32914	А. С. Пушкин. Полное собрание сочинений: В 16 т. — М.-Л.: Изд-во АН СССР, 1937—1959
prose_nekrasov.txt	Н. А. Некрасов	Тонкий человек, его приключения и наблюдения	1853—1855	роман	34771	Н. А. Некрасов. Полное собрание сочинений и писем: В 15 т. Художественные произведения. Тома 1—10. Критика. Публицистика. Письма. Т. 11—15 — Л., СПб.: Наука, 1981—2000
prose_turgenev.txt	И. С. Тургенев	Постоялый двор	1852	рассказ	11571	И. С. Тургенев. Полное собрание сочинений и писем в 30 тт. М.: Наука
verse_lermontov.txt	М. Ю. Лермонтов	стихотворения	1820—1844	стихи	48566	М. Ю. Лермонтов Собрание сочинений: В 4 т.. — Л.: Наука. Ленингр. отд-ние, 1979—1981
verse_pushkin.txt	А. С. Пушкин	стихотворения	1813—1836	стихи	35899	А. С. Пушкин. Полное собрание сочинений: В 16 т. — М.-Л.: Изд-во АН СССР, 1937—1959
verse_nekrasov.txt	Н. А. Некрасов	стихотворения	1841—1867	стихи	45205	Н. А. Некрасов. Полное собрание сочинений и писем: В 15 т. Художественные произведения. Тома 1—10. Критика. Публицистика. Письма. Т. 11—15 — Л., СПб.: Наука, 1981—2000
verse_turgenev.txt	И. С. Тургенев	стихотворения	1834—1882	стихи	10510	И. С. Тургенев. Полное собрание сочинений и писем в 30 тт. М.: Наука
