"dostoevsky_besy" "dostoevsky_idiot" "dostoevsky_karamazovy" "dostoevsky_podrostok" "dostoevsky_prestuplenie" "dostoevsky_unizhennye" "goncharov_oblomov" "goncharov_obryv" "grigorovich_pereselentsy" "grigorovich_rybaki" "leskov_nekuda" "leskov_nozhy" "leskov_soboryane" "pisemsky_boyarshchina" "pisemsky_tyufyak" "pomyalovsky_bursy" "pomyalovsky_molotov" "reshetnikov_gde" "reshetnikov_mezhdu" "saltykov_golovlevy" "saltykov_pompadury" "tolstoy_karenina1" "tolstoy_karenina2" "tolstoy_kazaki" "tolstoy_vojna1" "tolstoy_vojna2" "tolstoy_vojna3" "tolstoy_vojna4" "tolstoy_yunost" "turgenev_dym" "turgenev_gnezdo" "turgenev_nakanune" "turgenev_nov" "turgenev_otcy"
"dostoevsky_besy" 0 0.513754442784207 0.695719274778139 0.666606286589057 0.684191486357066 1.1135530729658 1.27489474588579 1.34284995477931 1.11965761209088 1.21436617663195 1.03754204901217 0.948909405267433 0.997322429967376 1.02306258798412 0.985427395727015 1.40246910763976 1.11111075822113 1.2127309410867 1.21240790773012 1.05538638561716 0.888562496383388 1.2132296220373 1.25930196777902 1.37623633380626 1.22637870930352 1.24082553373263 1.33435362234651 1.32041800947584 1.22982934080843 0.9437793599891 1.23604949459475 1.09379515639454 0.894573079444968 1.01988041554967
"dostoevsky_idiot" 0.513754442784207 0 0.59199212273403 0.591618679055045 0.564329226684465 0.987483080078167 1.31129440660423 1.36963765280998 1.15230926426876 1.28631287171246 1.12465059788257 0.976080814222557 1.06570791680524 1.11054876560398 0.982431555732142 1.40731661986033 1.18739289132272 1.29671953468241 1.29858633486124 1.0878086861455 1.0201140922393 1.19373169582859 1.23714011091642 1.45120308116417 1.28597157010431 1.24946973031887 1.40630467248072 1.34722262520445 1.2276135136521 1.01156880195886 1.29110989694647 1.17475451929486 0.938682578637868 1.07210493075084
"dostoevsky_karamazovy" 0.695719274778139 0.59199212273403 0 0.639193373376828 0.629433983811467 0.957616627113869 1.27515783584094 1.29937158249172 1.1608868438701 1.23269937302496 1.23098573920451 1.04021695882626 0.96170290283229 1.23991497787199 1.09322793620389 1.41737495365836 1.23984919693988 1.27985920128004 1.33854221075891 1.1053924920185 1.1857580173318 1.17840546148043 1.20761428934053 1.34246455617139 1.29203764035307 1.23739179773511 1.37835077186929 1.38458626078052 1.35148109333058 1.0442748015362 1.34860647119512 1.09212357489463 0.89961447628194 1.05134109879013
"dostoevsky_podrostok" 0.666606286589057 0.591618679055045 0.639193373376828 0 0.74207418803262 0.933823538522876 1.40322219451217 1.46522751926444 1.17487510116158 1.37262140258189 1.22812191432912 1.10339015400903 1.17144956684148 1.32664590327758 1.14241461974212 1.63255847362682 1.25646348016713 1.34392695787039 1.24182012095319 1.1473295627572 1.16864118985371 1.25176022193758 1.31470180644232 1.57013717948796 1.46849330241522 1.42428806838048 1.57682900602503 1.46139374904622 1.22404198942958 1.15242547421907 1.47434149440721 1.22035237002958 1.05871989439109 1.22254895925461
"dostoevsky_prestuplenie" 0.684191486357066 0.564329226684465 0.629433983811467 0.74207418803262 0 0.896198342710441 1.22587419780995 1.31992387197751 1.10307868785042 1.2908478102316 1.10768456897743 0.98643525416055 1.02116797355368 1.18250618533645 1.05763510802037 1.50110287758272 1.18427867274547 1.22252754921579 1.29465387461851 1.00910999679483 1.21598755130003 1.24773699878238 1.30100564982862 1.40799828206964 1.31209828908064 1.29149834097391 1.52245809934675 1.52204874673642 1.39957508219651 1.03138907085112 1.33788723610098 1.15156461518076 0.871570299942554 1.03756123464492
"dostoevsky_unizhennye" 1.1135530729658 0.987483080078167 0.957616627113869 0.933823538522876 0.896198342710441 0 1.37266990104913 1.32684186267322 1.2969295908848 1.52833438460758 1.36676649370807 1.18739504220151 1.23105174475992 1.3415718900616 1.19740267799107 1.77823184203082 1.27272293987672 1.38320755338625 1.35357513009039 1.25631474434408 1.46328366711269 1.20978942607642 1.21097300994573 1.53931784525369 1.50118538433196 1.42464738534915 1.71377740524999 1.64581874574054 1.33927222500448 1.22526380481792 1.43990891176292 1.12167751019447 1.13930648474855 1.15922284218417
"goncharov_oblomov" 1.27489474588579 1.31129440660423 1.27515783584094 1.40322219451217 1.22587419780995 1.37266990104913 0 0.564687997304735 1.15232491016703 1.23823210222207 1.0989689707293 1.14752744976944 1.09709272864055 1.28716052961515 1.18464933609907 1.50540979912292 1.12301582315997 1.00062356679625 1.24624278501031 1.1039351354997 1.39207666571113 1.3465735512182 1.39721685251084 1.18262270547522 1.26100986761246 1.27948313348781 1.46133395938622 1.59716339695746 1.54952989911234 1.0252197923521 1.16856011136652 0.997587224245833 1.02577846829235 0.994760541276189
"goncharov_obryv" 1.34284995477931 1.36963765280998 1.29937158249172 1.46522751926444 1.31992387197751 1.32684186267322 0.564687997304735 0 1.30773862788752 1.45326620119301 1.14635798647673 1.05268444543888 1.09377861860031 1.20887148492828 1.2098276614897 1.52495505044211 1.13928444154872 1.13384707171318 1.35202221323684 1.25265037510635 1.47192982829537 1.28692676066046 1.35612255453758 1.2005489326401 1.243228232107 1.22997804806816 1.44913206372155 1.53982025205437 1.56246698972977 0.930271360306983 1.03299097080292 0.888463331947571 1.04122741912416 0.951596273398476
"grigorovich_pereselentsy" 1.11965761209088 1.15230926426876 1.1608868438701 1.17487510116158 1.10307868785042 1.2969295908848 1.15232491016703 1.30773862788752 0 0.618495821753145 0.961758161887017 0.940292616490769 0.925117547028198 1.17041496733881 1.15018109499383 1.17972722477009 1.08473377197494 0.915093597371856 1.08129558907595 0.964124949680214 1.12439632824045 1.13817309025861 1.16287742121576 1.07648979052092 0.95081417536003 1.03979992424399 1.10302440918585 1.1429378062893 1.2051498245209 1.03364318608112 1.24142289804406 1.08035217620162 0.942714000320643 1.01781969767093
"grigorovich_rybaki" 1.21436617663195 1.28631287171246 1.23269937302496 1.37262140258189 1.2908478102316 1.52833438460758 1.23823210222207 1.45326620119301 0.618495821753145 0 1.11872308504363 1.15861127653729 1.09393790476945 1.39170962969011 1.30613954286185 1.1551193497426 1.1448332174604 1.05769909589946 1.28230091071337 1.10850887808285 1.22081989265337 1.38691594075809 1.41156345554332 1.10471895656764 1.10303576758244 1.2494293430496 1.22500344260928 1.3527657068637 1.29184086043297 1.22233216020521 1.36779601913279 1.26818997591738 1.12812709333765 1.12265655400369
"leskov_nekuda" 1.03754204901217 1.12465059788257 1.23098573920451 1.22812191432912 1.10768456897743 1.36676649370807 1.0989689707293 1.14635798647673 0.961758161887017 1.11872308504363 0 0.722390651056441 0.716849973527327 0.988324748535889 0.932173013087645 1.22291597857672 0.991355007144677 0.933679924836274 0.993595282502977 0.957415241049487 1.05010240680313 1.16067883319267 1.25526401418207 1.06468844233243 0.996871848118052 1.10078077583731 1.17278525858785 1.35030189682527 1.27841680959716 0.854676499467132 0.989451659170132 0.98165172545414 0.797694685544751 0.855010936534474
"leskov_nozhy" 0.948909405267433 0.976080814222557 1.04021695882626 1.10339015400903 0.98643525416055 1.18739504220151 1.14752744976944 1.05268444543888 0.940292616490769 1.15861127653729 0.722390651056441 0 0.534804736460681 1.03645413478682 0.883764367106821 1.25574246526157 0.812665998888631 1.01453098176009 1.06297022394126 1.04114492034882 0.988555865312545 0.911528978129767 1.02705139856697 1.22127207788697 1.02937652759347 1.04134304785425 1.18329598025826 1.1860643384287 1.19336161948099 0.809571136671445 0.973418216011278 0.832337145282825 0.722572537853642 0.780227048380834
"leskov_soboryane" 0.997322429967376 1.06570791680524 0.96170290283229 1.17144956684148 1.02116797355368 1.23105174475992 1.09709272864055 1.09377861860031 0.925117547028198 1.09393790476945 0.716849973527327 0.534804736460681 0 1.11428757472243 0.987452820663503 1.19467993564589 0.928687476265551 1.03113111285603 0.978897963347455 0.993812399070687 1.06042628395184 1.07104795352548 1.16241359231242 1.02693777566533 0.977235489947944 1.06966660058998 1.11812014023105 1.28705014922082 1.22281412222971 0.811105577334941 1.01863442344545 0.909378675429249 0.749843378218126 0.78406202556418
"pisemsky_boyarshchina" 1.02306258798412 1.11054876560398 1.23991497787199 1.32664590327758 1.18250618533645 1.3415718900616 1.28716052961515 1.20887148492828 1.17041496733881 1.39170962969011 0.988324748535889 1.03645413478682 1.11428757472243 0 0.688452264001723 1.30865124222915 1.10797693816112 1.19688554746222 1.18903923032502 1.21063006258272 1.15077476780619 1.02733358870623 1.05819371856144 1.21403099452081 0.941464554718789 0.948882678360856 1.10476601707101 1.25106890676063 1.17104695715856 0.871447359999595 0.93358283206951 0.881128719402521 0.93145601423663 0.880240476214322
"pisemsky_tyufyak" 0.985427395727015 0.982431555732142 1.09322793620389 1.14241461974212 1.05763510802037 1.19740267799107 1.18464933609907 1.2098276614897 1.15018109499383 1.30613954286185 0.932173013087645 0.883764367106821 0.987452820663503 0.688452264001723 0 1.32097622374416 0.948619997294598 1.14505640024428 1.13161107008141 1.06221590556597 1.0482998320114 0.981136251421449 1.05284944675828 1.22457298868247 1.04199419149804 0.990103327323468 1.20993688846406 1.32547457137957 1.19744715214643 0.907682400736075 0.953599861522883 0.933010013069345 0.915591020002824 0.84183635382241
"pomyalovsky_bursy" 1.40246910763976 1.40731661986033 1.41737495365836 1.63255847362682 1.50110287758272 1.77823184203082 1.50540979912292 1.52495505044211 1.17972722477009 1.1551193497426 1.22291597857672 1.25574246526157 1.19467993564589 1.30865124222915 1.32097622374416 0 1.02048509821394 1.20770157981582 1.15387898176848 1.32119816151717 1.15678661416724 1.26492494505155 1.27474656623611 1.12595823608925 0.978943994344519 1.03659104903543 0.840007809284839 1.04415474574806 1.29653678407508 1.26758146681738 1.12826869288021 1.23534502746245 1.16067673067943 1.2346756915673
"pomyalovsky_molotov" 1.11111075822113 1.18739289132272 1.23984919693988 1.25646348016713 1.18427867274547 1.27272293987672 1.12301582315997 1.13928444154872 1.08473377197494 1.1448332174604 0.991355007144677 0.812665998888631 0.928687476265551 1.10797693816112 0.948619997294598 1.02048509821394 0 0.99255365498332 1.02746266730115 0.969920177146804 0.989583430826022 1.02973216575428 1.05823566097576 1.23637296803645 1.09664149101495 1.07404376582511 1.19630883772216 1.16968592369517 1.30556119570246 0.999705330429919 1.00972967146649 0.997660268072225 0.888586773681709 0.936113029601058
"reshetnikov_gde" 1.2127309410867 1.29671953468241 1.27985920128004 1.34392695787039 1.22252754921579 1.38320755338625 1.00062356679625 1.13384707171318 0.915093597371856 1.05769909589946 0.933679924836274 1.01453098176009 1.03113111285603 1.19688554746222 1.14505640024428 1.20770157981582 0.99255365498332 0 0.853008576209294 0.964551320298998 1.22779468903344 1.25696506657365 1.2816026551348 1.12913443781849 1.18020350204204 1.20439938035089 1.21675782814131 1.31189779295944 1.33394236497177 1.16570076743597 1.27126906243147 1.15779247004307 1.04857873666485 1.10248307634937
"reshetnikov_mezhdu" 1.21240790773012 1.29858633486124 1.33854221075891 1.24182012095319 1.29465387461851 1.35357513009039 1.24624278501031 1.35202221323684 1.08129558907595 1.28230091071337 0.993595282502977 1.06297022394126 0.978897963347455 1.18903923032502 1.13161107008141 1.15387898176848 1.02746266730115 0.853008576209294 0 1.16035575690044 1.23704148824653 1.26141420757109 1.29846461117684 1.25132576059058 1.19121736153844 1.2466406110641 1.28301413406875 1.35007474913666 1.13083302172359 1.26721783072389 1.33246581161255 1.21729310665862 1.08619906360637 1.20354099978963
"saltykov_golovlevy" 1.05538638561716 1.0878086861455 1.1053924920185 1.1473295627572 1.00910999679483 1.25631474434408 1.1039351354997 1.25265037510635 0.964124949680214 1.10850887808285 0.957415241049487 1.04114492034882 0.993812399070687 1.21063006258272 1.06221590556597 1.32119816151717 0.969920177146804 0.964551320298998 1.16035575690044 0 0.952243330394069 1.28621080890638 1.36813716152206 1.14848664468578 1.19059690003429 1.16791919852303 1.31752946595235 1.3691381229105 1.33444729919033 1.09634977743198 1.25817043859165 1.18224768026551 0.972727140065413 1.0442553239739
"saltykov_pompadury" 0.888562496383388 1.0201140922393 1.1857580173318 1.16864118985371 1.21598755130003 1.46328366711269 1.39207666571113 1.47192982829537 1.12439632824045 1.22081989265337 1.05010240680313 0.988555865312545 1.06042628395184 1.15077476780619 1.0482998320114 1.15678661416724 0.989583430826022 1.22779468903344 1.23704148824653 0.952243330394069 0 1.10953823403735 1.21008664705422 1.35476469150897 1.1332451997894 1.13332133389776 1.10952587691702 1.06606481241414 1.14957852548676 1.07536740490115 1.24992053692587 1.17780673469065 0.997539261203619 1.07503904604441
"tolstoy_karenina1" 1.2132296220373 1.19373169582859 1.17840546148043 1.25176022193758 1.24773699878238 1.20978942607642 1.3465735512182 1.28692676066046 1.13817309025861 1.38691594075809 1.16067883319267 0.911528978129767 1.07104795352548 1.02733358870623 0.981136251421449 1.26492494505155 1.02973216575428 1.25696506657365 1.26141420757109 1.28621080890638 1.10953823403735 0 0.358152230567199 1.14094631403414 0.834004203050187 0.619456280098654 0.925889714074958 0.94904165353811 1.04383269589647 1.02416394988891 1.09164752085722 1.00071393666656 0.94615110105772 1.0552507900955
"tolstoy_karenina2" 1.25930196777902 1.23714011091642 1.20761428934053 1.31470180644232 1.30100564982862 1.21097300994573 1.39721685251084 1.35612255453758 1.16287742121576 1.41156345554332 1.25526401418207 1.02705139856697 1.16241359231242 1.05819371856144 1.05284944675828 1.27474656623611 1.05823566097576 1.2816026551348 1.29846461117684 1.36813716152206 1.21008664705422 0.358152230567199 0 1.17361729276361 0.88445137961944 0.635393293322556 0.905892263630913 0.926650670636946 1.03954616826071 1.05376297063085 1.12520496230152 1.040847142831 1.00252223241317 1.10839628781026
"tolstoy_kazaki" 1.37623633380626 1.45120308116417 1.34246455617139 1.57013717948796 1.40799828206964 1.53931784525369 1.18262270547522 1.2005489326401 1.07648979052092 1.10471895656764 1.06468844233243 1.22127207788697 1.02693777566533 1.21403099452081 1.22457298868247 1.12595823608925 1.23637296803645 1.12913443781849 1.25132576059058 1.14848664468578 1.35476469150897 1.14094631403414 1.17361729276361 0 0.802911553744198 0.901115148845654 0.95638685632927 1.33949864417001 1.24788656498116 1.13562589206628 1.08080526320203 1.16913661906646 1.08532992709343 1.06973288855361
