Source,Target,Weight,Type
chulkov_povarikha,emin_fortuna1,4,undirected
chulkov_povarikha,emin_fortuna2,2,undirected
chulkov_povarikha,komarov_povest1,3,undirected
chulkov_povarikha,komarov_povest2,1,undirected
emin_fortuna1,chulkov_povarikha,4,undirected
emin_fortuna1,emin_fortuna2,6,undirected
emin_fortuna1,emin_postoyannost1,1,undirected
emin_fortuna1,emin_postoyannost2,4,undirected
emin_fortuna2,chulkov_povarikha,2,undirected
emin_fortuna2,emin_fortuna1,6,undirected
emin_fortuna2,emin_postoyannost1,2,undirected
emin_fortuna2,emin_postoyannost2,3,undirected
emin_fortuna2,komarov_povest1,1,undirected
emin_fortuna2,radischev_put1,1,undirected
emin_postoyannost1,emin_fortuna1,1,undirected
emin_postoyannost1,emin_fortuna2,2,undirected
emin_postoyannost1,emin_postoyannost2,6,undirected
emin_postoyannost2,emin_fortuna1,4,undirected
emin_postoyannost2,emin_fortuna2,3,undirected
emin_postoyannost2,emin_postoyannost1,6,undirected
karamzin_natalia,komarov_povest2,2,undirected
karamzin_natalia,krylov_kaib,3,undirected
karamzin_natalia,krylov_nochi,1,undirected
karamzin_natalia,radischev_put1,3,undirected
karamzin_natalia,radischev_put2,5,undirected
komarov_povest1,chulkov_povarikha,3,undirected
komarov_povest1,emin_fortuna2,1,undirected
komarov_povest1,komarov_povest2,6,undirected
komarov_povest1,nartov_petr1,1,undirected
komarov_povest2,chulkov_povarikha,1,undirected
komarov_povest2,karamzin_natalia,2,undirected
komarov_povest2,komarov_povest1,6,undirected
krylov_kaib,karamzin_natalia,3,undirected
krylov_kaib,krylov_nochi,3,undirected
krylov_kaib,radischev_put1,5,undirected
krylov_kaib,radischev_put2,2,undirected
krylov_kaib,scherbatov_ofir2,1,undirected
krylov_nochi,karamzin_natalia,1,undirected
krylov_nochi,krylov_kaib,3,undirected
krylov_nochi,radischev_put1,2,undirected
nartov_petr1,komarov_povest1,1,undirected
nartov_petr1,nartov_petr2,6,undirected
nartov_petr1,scherbatov_ofir1,3,undirected
nartov_petr2,nartov_petr1,6,undirected
nartov_petr2,radischev_put2,1,undirected
nartov_petr2,scherbatov_ofir1,2,undirected
radischev_put1,emin_fortuna2,1,undirected
radischev_put1,karamzin_natalia,3,undirected
radischev_put1,krylov_kaib,5,undirected
radischev_put1,krylov_nochi,2,undirected
radischev_put1,radischev_put2,6,undirected
radischev_put2,karamzin_natalia,5,undirected
radischev_put2,krylov_kaib,2,undirected
radischev_put2,nartov_petr2,1,undirected
radischev_put2,radischev_put1,6,undirected
radischev_put2,scherbatov_ofir1,2,undirected
radischev_put2,scherbatov_ofir2,2,undirected
scherbatov_ofir1,nartov_petr1,3,undirected
scherbatov_ofir1,nartov_petr2,2,undirected
scherbatov_ofir1,radischev_put2,2,undirected
scherbatov_ofir1,scherbatov_ofir2,6,undirected
scherbatov_ofir2,krylov_kaib,1,undirected
scherbatov_ofir2,radischev_put2,2,undirected
scherbatov_ofir2,scherbatov_ofir1,6,undirected
