"chulkov_povarikha" "emin_fortuna1" "emin_fortuna2" "emin_postoyannost1" "emin_postoyannost2" "karamzin_natalia" "komarov_povest1" "komarov_povest2" "krylov_kaib" "krylov_nochi" "nartov_petr1" "nartov_petr2" "radischev_put1" "radischev_put2" "scherbatov_ofir1" "scherbatov_ofir2"
"chulkov_povarikha" 0 0.893646064178613 0.905151971503576 1.23119697298537 1.14030555099865 1.1311651255961 0.906140345633439 1.03694935300495 1.12213473060372 0.970640521428881 1.33466714422636 1.51576354303894 1.12029329506676 1.32364601583319 1.2350324779243 1.40210185836709
"emin_fortuna1" 0.893646064178613 0 0.529380567131752 0.909559041972335 0.791868539497881 1.01263261671155 0.937054500552939 1.08512551001558 1.01667418855589 0.995232022236746 1.26563605204865 1.54058494280462 0.981627897585433 1.14711757692178 1.29657445485047 1.40687028022107
"emin_fortuna2" 0.905151971503576 0.529380567131752 0 0.890676252737669 0.849542423671135 1.02756221715811 0.923812285310003 1.12641366250274 0.918280531620299 0.955789209926104 1.31417011105024 1.43582937493196 0.854243821919985 1.05336299196391 1.17079300646314 1.21109078712056
"emin_postoyannost1" 1.23119697298537 0.909559041972335 0.890676252737669 0 0.518823150023284 1.12038503233197 1.16520642136816 1.20135597887873 1.07885524256475 1.18821955653832 1.36784901855054 1.59815237431904 1.15301025317439 1.21259263644382 1.499367537339 1.55781031735763
"emin_postoyannost2" 1.14030555099865 0.791868539497881 0.849542423671135 0.518823150023284 0 0.956498002261185 0.998714354716809 1.05461080612068 0.980758871075206 1.08637549351143 1.21119943504519 1.39980914291773 1.02084493755096 1.05933967522157 1.335354284999 1.43690619980963
"karamzin_natalia" 1.1311651255961 1.01263261671155 1.02756221715811 1.12038503233197 0.956498002261185 0 0.941421445318533 0.967419759576768 0.834328329805631 0.947676188898041 1.21808803774389 1.28288500269133 0.829799984948177 0.813477993136297 1.13008196494937 1.23399953295243
"komarov_povest1" 0.906140345633439 0.937054500552939 0.923812285310003 1.16520642136816 0.998714354716809 0.941421445318533 0 0.536376167865192 0.999055023666387 0.98661795356699 1.12354794798694 1.32585567455615 1.01604454581473 1.17710044016779 1.19640771160727 1.32460309290111
"komarov_povest2" 1.03694935300495 1.08512551001558 1.12641366250274 1.20135597887873 1.05461080612068 0.967419759576768 0.536376167865192 0 1.07355028974373 1.03939213830832 1.17421134454614 1.4009439452045 1.10154332670229 1.23271795484979 1.34598643198005 1.40573569703486
"krylov_kaib" 1.12213473060372 1.01667418855589 0.918280531620299 1.07885524256475 0.980758871075206 0.834328329805631 0.999055023666387 1.07355028974373 0 0.862800825759417 1.25181347247059 1.31053014410276 0.815677644851621 0.859618521989969 1.1529486883394 1.10393341845565
"krylov_nochi" 0.970640521428881 0.995232022236746 0.955789209926104 1.18821955653832 1.08637549351143 0.947676188898041 0.98661795356699 1.03939213830832 0.862800825759417 0 1.40957532461143 1.59351698938143 0.908020607506629 1.01665610245939 1.30582435931736 1.3574441932383
"nartov_petr1" 1.33466714422636 1.26563605204865 1.31417011105024 1.36784901855054 1.21119943504519 1.21808803774389 1.12354794798694 1.17421134454614 1.25181347247059 1.40957532461143 0 0.671219046855339 1.22962371420965 1.17644231780343 1.06759287457132 1.25266805922139
"nartov_petr2" 1.51576354303894 1.54058494280462 1.43582937493196 1.59815237431904 1.39980914291773 1.28288500269133 1.32585567455615 1.4009439452045 1.31053014410276 1.59351698938143 0.671219046855339 0 1.36610734203687 1.26501829514377 1.19279273740398 1.33104422146558
"radischev_put1" 1.12029329506676 0.981627897585433 0.854243821919985 1.15301025317439 1.02084493755096 0.829799984948177 1.01604454581473 1.10154332670229 0.815677644851621 0.908020607506629 1.22962371420965 1.36610734203687 0 0.488117509381045 1.07493823999279 1.17117581128653
"radischev_put2" 1.32364601583319 1.14711757692178 1.05336299196391 1.21259263644382 1.05933967522157 0.813477993136297 1.17710044016779 1.23271795484979 0.859618521989969 1.01665610245939 1.17644231780343 1.26501829514377 0.488117509381045 0 1.02656856395732 1.02796715838077
"scherbatov_ofir1" 1.2350324779243 1.29657445485047 1.17079300646314 1.499367537339 1.335354284999 1.13008196494937 1.19640771160727 1.34598643198005 1.1529486883394 1.30582435931736 1.06759287457132 1.19279273740398 1.07493823999279 1.02656856395732 0 0.748608070332053
"scherbatov_ofir2" 1.40210185836709 1.40687028022107 1.21109078712056 1.55781031735763 1.43690619980963 1.23399953295243 1.32460309290111 1.40573569703486 1.10393341845565 1.3574441932383 1.25266805922139 1.33104422146558 1.17117581128653 1.02796715838077 0.748608070332053 0
