"gorodnichij_1" "gorodnichij_2" "hlestakov_1" "hlestakov_2"
"право" 0.149700598802395 0.16739203213927 0.249376558603491 0.100502512562814
"тоже" 0.149700598802395 0 0.29925187032419 0.301507537688442
"чем" 0.199600798403194 0.200870438567124 0.199501246882793 0.050251256281407
"возьми" 0.0998003992015968 0.16739203213927 0.149625935162095 0.201005025125628
"где" 0.29940119760479 0.133913625711416 0.149625935162095 0.050251256281407
"конечно" 0.249500998003992 0.133913625711416 0.0997506234413965 0.150753768844221
"признаюсь" 0 0.033478406427854 0.29925187032419 0.351758793969849
"прошу" 0 0.16739203213927 0.199501246882793 0.251256281407035
"хочу" 0 0.100435219283562 0.349127182044888 0.201005025125628
"боже" 0.349301397205589 0.16739203213927 0.0498753117206983 0
"всё" 0.0998003992015968 0.16739203213927 0.249376558603491 0.050251256281407
"может" 0.349301397205589 0.133913625711416 0.0498753117206983 0.050251256281407
"со" 0.0499001996007984 0.100435219283562 0.199501246882793 0.251256281407035
"сударыня" 0 0 0.249376558603491 0.402010050251256
"уже" 0.249500998003992 0.0669568128557081 0.199501246882793 0.100502512562814
"анна" 0.0499001996007984 0.267827251422832 0 0.150753768844221
"будет" 0.149700598802395 0.16739203213927 0 0.201005025125628
"будто" 0.149700598802395 0.234348844994978 0.0498753117206983 0.050251256281407
"впрочем" 0.0998003992015968 0 0.249376558603491 0.251256281407035
"всем" 0.149700598802395 0.133913625711416 0.0997506234413965 0.150753768844221
