"diary_tolstaya-korolenko" "diary_uspensky" "epistulae_gogol1" "epistulae_gogol2" "epistulae_nekrasov" "epistulae_pushkin" "epistulae_saltykov" "epistulae_turgenev1" "epistulae_turgenev2" "memoir_annenkov" "memoir_herzen" "memoir_panaev" "memoir_vigel" "travelog_bellinsgausen" "travelog_bronevsky" "travelog_davydov" "travelog_kruzenshtern" "travelog_litke"
"diary_tolstaya-korolenko" 0 1.15199193576455 0.98983910998111 1.04696378046925 0.896653363912916 1.02963584614944 0.897027133126471 0.88857967028674 0.906868337522905 1.0890663746188 0.76880988457495 0.858277653603693 1.07994109153701 1.55261865923465 1.19988097673054 1.30380467670668 1.32481033840918 1.33236314626852
"diary_uspensky" 1.15199193576455 0 1.29748590156154 1.36168367819808 1.25277730228306 1.08794821527322 1.17502184219583 1.12439535053091 1.110556662824 1.05358992845437 0.959771944067351 1.16518397040509 1.12828590958984 1.1800499628339 0.738675445598965 0.929248904276677 0.969429644861344 1.04956098205302
"epistulae_gogol1" 0.98983910998111 1.29748590156154 0 0.452040857960761 0.813747046419754 1.00024233824133 0.771705120124768 0.724116771388285 0.746795056225604 1.2031139823799 1.17237544289149 1.21628308399008 1.30473259065861 1.76101785028802 1.38340940822164 1.41043531220747 1.33673554358704 1.485520026502
"epistulae_gogol2" 1.04696378046925 1.36168367819808 0.452040857960761 0 0.995062472757828 1.13254653295183 0.933333716843434 0.878644055142083 0.906244601128905 1.19794957059676 1.25390787130484 1.28716313913201 1.3105557700856 1.90250836988903 1.50002315131535 1.5369788878947 1.47926487462289 1.64331724948918
"epistulae_nekrasov" 0.896653363912916 1.25277730228306 0.813747046419754 0.995062472757828 0 0.765378732089709 0.588184392952222 0.68807353866462 0.670522805167976 1.26433026715676 1.01144524587847 1.03681629387945 1.42216043234273 1.66473203126284 1.25803561720013 1.40551920591374 1.40589389382552 1.4320094138383
"epistulae_pushkin" 1.02963584614944 1.08794821527322 1.00024233824133 1.13254653295183 0.765378732089709 0 0.862027834628219 0.746767191543994 0.746962529406596 1.29682373372979 0.948255483121049 1.08789424763175 1.34867339710827 1.63651141751059 1.15818604226341 1.42036763582384 1.4454963454578 1.53420246369814
"epistulae_saltykov" 0.897027133126471 1.17502184219583 0.771705120124768 0.933333716843434 0.588184392952222 0.862027834628219 0 0.591279033529603 0.610859698161972 1.30360494834968 1.07507790740694 1.1275508276162 1.37297247638696 1.67152788936762 1.28218896012782 1.3504986901944 1.36985415651005 1.47102127667634
"epistulae_turgenev1" 0.88857967028674 1.12439535053091 0.724116771388285 0.878644055142083 0.68807353866462 0.746767191543994 0.591279033529603 0 0.192113007038487 1.24491823764679 1.05659140125162 1.07921364881295 1.32964322063549 1.64902194924678 1.26424271707371 1.3617931280619 1.35671652006832 1.42916057492374
"epistulae_turgenev2" 0.906868337522905 1.110556662824 0.746795056225604 0.906244601128905 0.670522805167976 0.746962529406596 0.610859698161972 0.192113007038487 0 1.21285856925808 1.04105246217693 1.06910407060054 1.27956108417422 1.60826573544907 1.23212655882316 1.34802279192075 1.34457153439377 1.42406776101782
"memoir_annenkov" 1.0890663746188 1.05358992845437 1.2031139823799 1.19794957059676 1.26433026715676 1.29682373372979 1.30360494834968 1.24491823764679 1.21285856925808 0 0.909630208463731 0.831702548802578 0.739865455420083 1.26486691447704 0.905798597455309 1.07836100589073 1.09743190382647 1.08982898866921
"memoir_herzen" 0.76880988457495 0.959771944067351 1.17237544289149 1.25390787130484 1.01144524587847 0.948255483121049 1.07507790740694 1.05659140125162 1.04105246217693 0.909630208463731 0 0.635523360294771 0.798159390620444 1.27335362615369 0.865331426343452 1.0824046936617 1.21058712983955 1.13570080870874
"memoir_panaev" 0.858277653603693 1.16518397040509 1.21628308399008 1.28716313913201 1.03681629387945 1.08789424763175 1.1275508276162 1.07921364881295 1.06910407060054 0.831702548802578 0.635523360294771 0 0.857828592673422 1.29073372867965 0.949904857378413 1.22081562101022 1.19621700673561 1.17753691069275
"memoir_vigel" 1.07994109153701 1.12828590958984 1.30473259065861 1.3105557700856 1.42216043234273 1.34867339710827 1.37297247638696 1.32964322063549 1.27956108417422 0.739865455420083 0.798159390620444 0.857828592673422 0 1.29189276094672 0.955903675762294 1.09516440371609 1.09917200506085 1.12307145322433
"travelog_bellinsgausen" 1.55261865923465 1.1800499628339 1.76101785028802 1.90250836988903 1.66473203126284 1.63651141751059 1.67152788936762 1.64902194924678 1.60826573544907 1.26486691447704 1.27335362615369 1.29073372867965 1.29189276094672 0 0.691647543503703 0.856038674209237 0.737180689197309 0.735907127370025
"travelog_bronevsky" 1.19988097673054 0.738675445598965 1.38340940822164 1.50002315131535 1.25803561720013 1.15818604226341 1.28218896012782 1.26424271707371 1.23212655882316 0.905798597455309 0.865331426343452 0.949904857378413 0.955903675762294 0.691647543503703 0 0.63022068466375 0.687697105904755 0.724797089107781
"travelog_davydov" 1.30380467670668 0.929248904276677 1.41043531220747 1.5369788878947 1.40551920591374 1.42036763582384 1.3504986901944 1.3617931280619 1.34802279192075 1.07836100589073 1.0824046936617 1.22081562101022 1.09516440371609 0.856038674209237 0.63022068466375 0 0.722926668552714 0.727041004049445
"travelog_kruzenshtern" 1.32481033840918 0.969429644861344 1.33673554358704 1.47926487462289 1.40589389382552 1.4454963454578 1.36985415651005 1.35671652006832 1.34457153439377 1.09743190382647 1.21058712983955 1.19621700673561 1.09917200506085 0.737180689197309 0.687697105904755 0.722926668552714 0 0.65441516960671
"travelog_litke" 1.33236314626852 1.04956098205302 1.485520026502 1.64331724948918 1.4320094138383 1.53420246369814 1.47102127667634 1.42916057492374 1.42406776101782 1.08982898866921 1.13570080870874 1.17753691069275 1.12307145322433 0.735907127370025 0.724797089107781 0.727041004049445 0.65441516960671 0
