"gurmyzhskaja_1" "gurmyzhskaja_2" "neschastlivtsev_1" "neschastlivtsev_2"
"люди" 0.0998502246630055 0.0420344682639765 0.297029702970297 0.183688464364438
"могу" 0.0998502246630055 0.252206809583859 0.247524752475248 0.0367376928728876
"может" 0.249625561657514 0.294241277847835 0 0.0734753857457752
"этот" 0.349475786320519 0.168137873055906 0 0.110213078618663
"буду" 0.149775336994508 0.0840689365279529 0.198019801980198 0.14695077149155
"был" 0.0998502246630055 0.126103404791929 0.198019801980198 0.14695077149155
"дитя" 0 0 0 0.477590007347539
"ему" 0.0998502246630055 0.336275746111812 0 0.110213078618663
"или" 0.149775336994508 0 0.247524752475248 0.183688464364438
"ней" 0.299550673989016 0.126103404791929 0.0495049504950495 0.110213078618663
"тут" 0.0998502246630055 0.0420344682639765 0.198019801980198 0.220426157237326
"хорошо" 0.0998502246630055 0.168137873055906 0.198019801980198 0.110213078618663
