"author_duel" "author_dull" "author_palata" "author_step" "pseudo_barynya" "pseudo_drama" "pseudo_tsvety" "pseudo_victory"
"и" 5.64545010581149 5.07955601727815 5.65536827807619 5.75777863913457 4.46797057240266 4.16464439051708 5.07328072153326 3.93187977832612
"в" 2.45482663193879 2.46596314724698 3.00055565845527 2.03671729095458 1.86614031939709 2.20085868956506 2.36753100338219 2.09538449091865
"не" 1.98274458733518 2.27459128437859 2.12385009569673 1.88167306811375 2.81715413601292 2.47153257420198 2.41089237707051 2.24909995550342
"на" 1.39671170437897 1.33960304007874 1.42001605235537 1.9873850382325 1.65081643638974 1.72297927944745 1.63038765068077 1.60996723433518
"я" 1.1134624776168 2.74481929028378 0.722355991850343 0.454561471510624 0.915126502781267 2.54433451558708 0.641748330587113 1.23376886048299
"что" 1.65391502523197 1.57471704303133 1.55584367475458 1.22978258571479 1.54315449488606 1.43177151390704 1.01465614430665 0.978924800776668
"он" 1.69949536057301 0.579583356115698 1.90158671358894 1.48349131399979 1.30988695496142 0.952025387343662 1.84719451912237 1.14882084058088
"с" 1.21764610125346 0.934988244299852 1.10514292770266 1.21568765636562 1.16633769962318 1.08082882210192 1.19677391379759 0.853525342825938
"как" 0.986488686309621 0.9021816392367 0.808791751558931 0.91264667535854 0.574197021352952 0.774687324995333 0.815193825340387 0.566320132680717
"а" 0.768354224320365 0.590518891136749 0.882879545594863 1.21568765636562 1.07661941503678 0.66268433824902 0.607059231636458 0.558229845070992
"то" 0.849747680286505 0.984198151894581 0.765573871704637 1.01131118080271 0.466535079849273 0.617883143550495 0.433613736883184 0.347882367218155
"его" 0.755331271365782 0.415550330799934 0.722355991850343 0.82807709926354 0.735689933608469 0.703752100056002 0.832538374815714 0.659358440192549
"к" 0.563242715285691 0.579583356115698 0.740877940359326 0.599034497339582 0.915126502781267 0.601082695538548 0.624403781111786 0.691719590631447
"она" 0.618590265342666 0.672535403794631 0.0740877940359326 0.295993516332499 0.538309707518392 0.520813888370357 1.00598386956899 1.00319566360584
"но" 0.546964024092463 0.688938706326207 0.629746249305427 0.348849501391874 0.179436569172797 0.625350009333582 0.433613736883184 0.436875530925124
"это" 0.644636171251831 0.645196566242003 0.561832438105822 0.377039360090208 0.412704109097434 0.552548067948479 0.355563264244211 0.444965818534849
"по" 0.446036138694449 0.519437913499918 0.629746249305427 0.641319285387082 0.556253364435672 0.429344782527534 0.520336484259821 0.481372112778609
"за" 0.446036138694449 0.431953633331511 0.388960918688646 0.412276683463124 0.66391530593935 0.541347769273847 0.615731506374122 0.622952145948788
"у" 0.599055835910793 0.699874241347258 0.5124405754152 0.493322527220832 0.68185896285663 0.397610602949412 0.624403781111786 0.347882367218155
"же" 0.498127950512779 0.530373448520969 0.561832438105822 0.331230839705416 0.358873138345595 0.500280007466866 0.390252363194866 0.485417256583472
"вы" 0.338596776819144 0.207775165399967 0.555658455269494 0.140949293491666 0.269154853759196 0.677618069815195 0.260168242129911 0.711945309655758
"мне" 0.244180367898421 0.956859314341954 0.228437364944125 0.123330631805208 0.179436569172797 0.784020907224193 0.0953950221143006 0.368108086242466
"из" 0.364642682728309 0.333533818142053 0.487744644069889 0.447514006836041 0.358873138345595 0.429344782527534 0.381580088457202 0.509688119412645
"от" 0.429757447501221 0.388211493247307 0.401308884361301 0.503893724232707 0.322985824511035 0.397610602949412 0.390252363194866 0.453056106144573
"бы" 0.537196809376526 0.492099075947291 0.302525158980058 0.250184995947708 0.376816795262875 0.472279260780287 0.407596912670193 0.400469236681364
