filename	author	title	year	genre	words	source
pushkin_dubrovsky.txt	А. С. Пушкин	Дубровский	1832-1833	роман	21620	А. С. Пушкин. Полное собрание сочинений: В 16 т. — М.-Л.: Изд-во АН СССР, 1937—1959
pushkin_kapitanskaya.txt	А. С. Пушкин	Капитанская дочка	1832-1836	роман	33823	А. С. Пушкин. Полное собрание сочинений: В 16 т. — М.-Л.: Изд-во АН СССР, 1937—1959
pushkin_povesti.txt	А. С. Пушкин	Повести Белкина	1831	повесть	19185	Корпус нарративной прозы
gogol_taras.txt	Н. В. Гоголь	Миргород : Тарас Бульба	1833-1842	повесть	36937	Н. В. Гоголь. Полное собрание сочинений: [В 14 т.]. — [М.—Л.]: Изд-во АН СССР, 1937—1952
gogol_mertvye_b1.txt	Н. В. Гоголь	Мертвые души. Том первый	1835-1841	поэма в прозе	37084	Н. В. Гоголь. Полное собрание сочинений: [В 14 т.]. — [М.—Л.]: Изд-во АН СССР, 1937—1952
gogol_mertvye_b2.txt	Н. В. Гоголь	Мертвые души. Том первый	1835-1841	поэма в прозе	38832	Н. В. Гоголь. Полное собрание сочинений: [В 14 т.]. — [М.—Л.]: Изд-во АН СССР, 1937—1952
saltykov_protivorechiya.txt	М. Е. Салтыков-Щедрин	Противоречия	1847	повесть	23217	М. Е. Салтыков-Щедрин. Собрание сочинений в 20 тт. М.: Художественная литература, 1965—1977
lermontov_mary.txt	М. Ю. Лермонтов	Княжна Мери	1837	повесть	21680	М. Ю. Лермонтов Собрание сочинений: В 4 т. — Л.: Наука. Ленингр. отд-ние, 1979—1981
lermontov_ligovskaya.txt	М. Ю. Лермонтов	Княгиня Лиговская	1836	повесть	18827	М. Ю. Лермонтов Собрание сочинений: В 4 т. — Л.: Наука. Ленингр. отд-ние, 1979—1981
lermontov_vadim.txt	М. Ю. Лермонтов	Вадим	1832-1834	повесть	32391	М. Ю. Лермонтов Собрание сочинений: В 4 т. — Л.: Наука. Ленингр. отд-ние, 1979—1981
lazhechnikov_ledyanoy_b1.txt	И. И. Лажечников	Ледяной дом	1835	роман	46053	Корпус нарративной прозы
lazhechnikov_ledyanoy_b2.txt	И. И. Лажечников	Ледяной дом	1835	роман	47033	Корпус нарративной прозы
lazhechnikov_posledniy_b1.txt	И. И. Лажечников	Последний Новик или Завоевание Лифляндии	1833	роман	40429	Корпус нарративной прозы
lazhechnikov_posledniy_b2.txt	И. И. Лажечников	Последний Новик или Завоевание Лифляндии	1833	роман	39290	Корпус нарративной прозы
lazhechnikov_posledniy_b3.txt	И. И. Лажечников	Последний Новик или Завоевание Лифляндии	1833	роман	39551	Корпус нарративной прозы
lazhechnikov_posledniy_b4.txt	И. И. Лажечников	Последний Новик или Завоевание Лифляндии	1833	роман	40060	Корпус нарративной прозы
bestuzhev_fregat.txt	А. А. Бестужев	Фрегат «Надежда»	1834	роман	34871	Корпус нарративной прозы
bestuzhev_mulla.txt	А. А. Бестужев	Мулла-нур	1834	повесть	44494	Корпус нарративной прозы
bulgarin_dimitriy_b1.txt	Ф. В. Булгарин	Димитрий Самозванец	1830	роман	52243	Корпус нарративной прозы
bulgarin_dimitriy_b2.txt	Ф. В. Булгарин	Димитрий Самозванец	1830	роман	51551	Корпус нарративной прозы
bulgarin_dimitriy_b3.txt	Ф. В. Булгарин	Димитрий Самозванец	1830	роман	50751	Корпус нарративной прозы
bulgarin_vyzhigin_b1.txt	Ф. В. Булгарин	Иван Иванович Выжигин	1829	роман	39194	Корпус нарративной прозы
bulgarin_vyzhigin_b2.txt	Ф. В. Булгарин	Иван Иванович Выжигин	1829	роман	40604	Корпус нарративной прозы
bulgarin_vyzhigin_b3.txt	Ф. В. Булгарин	Иван Иванович Выжигин	1829	роман	39727	Корпус нарративной прозы
narezhnyy_bursak_b1.txt	В. Т. Нарежный	Бурсак	1824	роман	45740	Корпус нарративной прозы
narezhnyy_bursak_b2.txt	В. Т. Нарежный	Бурсак	1824	роман	46961	Корпус нарративной прозы
narezhnyy_zhilblaz_b1.txt	В. Т. Нарежный	Российский Жилблаз или Похождения князя Гаврилы Симоновича Чистякова	1814	роман	49814	Корпус нарративной прозы
narezhnyy_zhilblaz_b2.txt	В. Т. Нарежный	Российский Жилблаз или Похождения князя Гаврилы Симоновича Чистякова	1814	роман	50526	Корпус нарративной прозы
pogorelskiy_dvoynik.txt	А. Погорельский	Двойник	1828	роман	41987	Корпус нарративной прозы
pogorelskiy_monastyrka.txt	А. Погорельский	Монастырка	1833	роман	59365	Корпус нарративной прозы
zagoskin_roslavlev_b1.txt	М. Н. Загоскин	Рославлев, или Русские в 1812 году	1831	роман	50175	Корпус нарративной прозы
zagoskin_roslavlev_b2.txt	М. Н. Загоскин	Рославлев, или Русские в 1812 году	1831	роман	52613	Корпус нарративной прозы
zagoskin_miloslavskiy_b1.txt	М. Н. Загоскин	Юрий Милославский или Русские в 1612 году	1829	роман	36569	Корпус нарративной прозы
zagoskin_miloslavskiy_b2.txt	М. Н. Загоскин	Юрий Милославский или Русские в 1612 году	1829	роман	39594	Корпус нарративной прозы
