Source,Target,Weight,Type
real_grigorovich,real_pomyalovsky,1,undirected
real_grigorovich,rom_gogol,6,undirected
real_grigorovich,rom_polevoy,4,undirected
real_krestovsky,real_pisemsky,6,undirected
real_krestovsky,real_pomyalovsky,4,undirected
real_krestovsky,rom_gogol,4,undirected
real_krestovsky,rom_odoevsky,2,undirected
real_pisemsky,real_krestovsky,6,undirected
real_pisemsky,real_pomyalovsky,4,undirected
real_pisemsky,rom_gogol,1,undirected
real_pomyalovsky,real_grigorovich,1,undirected
real_pomyalovsky,real_krestovsky,4,undirected
real_pomyalovsky,real_pisemsky,4,undirected
real_pomyalovsky,rom_gogol,1,undirected
real_pomyalovsky,rom_odoevsky,1,undirected
rom_bestuzhev,rom_gogol,3,undirected
rom_bestuzhev,rom_odoevsky,6,undirected
rom_bestuzhev,rom_polevoy,4,undirected
rom_gogol,real_grigorovich,6,undirected
rom_gogol,real_krestovsky,4,undirected
rom_gogol,real_pisemsky,1,undirected
rom_gogol,real_pomyalovsky,1,undirected
rom_gogol,rom_bestuzhev,3,undirected
rom_gogol,rom_polevoy,1,undirected
rom_odoevsky,real_krestovsky,2,undirected
rom_odoevsky,real_pomyalovsky,1,undirected
rom_odoevsky,rom_bestuzhev,6,undirected
rom_polevoy,real_grigorovich,4,undirected
rom_polevoy,rom_bestuzhev,4,undirected
rom_polevoy,rom_gogol,1,undirected
