Source,Target,Weight,Type
Ан3_part1,Х4_part2,4,undirected
Ан3_part1,Я4_part2,6,undirected
Ан3_part1,Я6_part2,1,undirected
Х4_part1,Х4_part2,1,undirected
Х4_part1,Я4_part1,2,undirected
Х4_part1,Я5_part1,1,undirected
Х4_part1,Я5_part2,1,undirected
Х4_part1,Я6_part2,3,undirected
Х4_part2,Ан3_part1,4,undirected
Х4_part2,Х4_part1,1,undirected
Х4_part2,Я4_part2,5,undirected
Я4_part1,Х4_part1,2,undirected
Я4_part1,Я5_part1,3,undirected
Я4_part1,Я5_part2,2,undirected
Я4_part1,Я6_part1,6,undirected
Я4_part1,Я6_part2,4,undirected
Я4_part2,Ан3_part1,6,undirected
Я4_part2,Х4_part2,5,undirected
Я4_part2,Я6_part2,1,undirected
Я5_part1,Х4_part1,1,undirected
Я5_part1,Я4_part1,3,undirected
Я5_part1,Я6_part1,2,undirected
Я5_part1,Я6_part2,6,undirected
Я5_part2,Х4_part1,1,undirected
Я5_part2,Я4_part1,2,undirected
Я5_part2,Я6_part2,3,undirected
Я6_part1,Я4_part1,6,undirected
Я6_part1,Я5_part1,2,undirected
Я6_part1,Я6_part2,3,undirected
Я6_part2,Ан3_part1,1,undirected
Я6_part2,Х4_part1,3,undirected
Я6_part2,Я4_part1,4,undirected
Я6_part2,Я4_part2,1,undirected
Я6_part2,Я5_part1,6,undirected
Я6_part2,Я5_part2,3,undirected
Я6_part2,Я6_part1,3,undirected
