"Ан3_part1" "Х4_part1" "Х4_part2" "Я4_part1" "Я4_part2" "Я5_part1" "Я5_part2" "Я6_part1" "Я6_part2"
"и" 4.26485081981901 3.60238002845686 3.65127875180955 4.87745944080083 3.31584297134694 4.42690639209742 5.06648424473043 4.84653517561439 4.47064811672888
"в" 2.42809784069528 3.09145000646747 2.49852554822798 2.47497411114946 2.15378698387407 2.49830136413526 2.47979819573304 2.59993671553634 2.73583305055989
"не" 2.67001164770182 1.60393222092873 2.32159133558522 1.67069382119434 2.48619543419137 1.92337845607066 2.58241053486682 1.66121717118447 1.79419748897184
"я" 1.48732192455873 1.34523347561764 1.20636963165514 1.51881256472213 1.6565478970358 1.48957298907646 2.31305314464064 1.46081636958127 1.27672209026128
"с" 1.11101155810411 1.28055878928987 1.31360248780226 1.12530203658958 1.56589104694926 1.28573668530811 1.05605199025183 1.09165699820694 1.26823888700373
"на" 1.44252307140937 1.28702625792265 1.37794220149054 1.13910942354159 1.05491607373424 1.16552553180369 1.10308264568814 1.30260521042084 1.02646759416356
"как" 0.851178209837828 0.937782951752684 1.0401587046271 0.586813945460822 1.14007856927008 0.987822087492813 1.01757236307666 0.590654994198924 0.907702748557855
"ты" 1.05725293432488 0.911913077221575 0.723821778993084 0.956161546427339 0.664816900634598 0.93555636857785 0.961990679379195 1.18130998839785 0.848320325755005
"что" 1.07517247558463 0.724356486871039 0.997265562168248 0.497065930272696 1.02744430098074 0.70558720535201 0.910684509812305 0.448264950954541 0.87801153715643
"он" 0.671982797240391 0.911913077221575 1.22781620288456 0.683465654124957 0.549435455069916 0.857157790205404 1.03894993372953 0.743592448054003 0.576857821513403
"но" 0.913896604246931 0.472125210192731 0.439654710203206 0.807732136693131 0.442295541331282 0.893743793445879 1.094531617427 0.580107583588229 0.788937902952155
"а" 0.779500044798853 0.336308368904411 0.632673851268029 0.348636520538488 1.29941485124035 0.339727172947264 0.389071785882252 0.242590444045987 0.517475398710553
"мне" 0.232954036376669 0.523864959254948 0.396761567744357 0.566102865032793 0.277464904810307 0.63241519887106 0.500235153277182 0.580107583588229 0.453851374278928
"о" 0.403189678344234 0.297503557107748 0.235912283523672 0.393510528132551 0.282959259361007 0.721266921026499 0.50878618153833 0.611749815420314 0.678656260604004
"к" 0.403189678344234 0.51739749062217 0.600503994423891 0.345184673800483 0.381857641273591 0.449485182668688 0.45748001197144 0.432443835038498 0.483542585680353
"за" 0.5734253203118 0.504462553356616 0.536164280735617 0.358992060752503 0.469767314084778 0.365860032404746 0.329214588054213 0.369159371374328 0.381744146589752
"то" 0.564465549681928 0.420385461130514 0.638035494075385 0.203658957542285 0.623609241504354 0.324047457272775 0.444653469579717 0.205674506908554 0.339328130302002
"по" 0.439028760863722 0.303971025740525 0.541525923542974 0.217466344494304 0.689541496112744 0.182930016202373 0.256530847834452 0.258411559962029 0.352052935188327
"так" 0.403189678344234 0.323373431638857 0.514717709506193 0.245081118398343 0.552182632345265 0.277008310249307 0.448928983710291 0.158211159160426 0.330844927044452
"его" 0.259833348266284 0.27163368257664 0.353868425285507 0.372799447704522 0.291200791187055 0.428578895102702 0.542990294582924 0.284780086488767 0.284187309127927
"где" 0.2867126601559 0.336308368904411 0.225188997908959 0.341732827062478 0.19504958654982 0.480844614017666 0.286459446748472 0.448264950954541 0.419918561248728
"да" 0.546546008422184 0.142284309921097 0.68629027934159 0.141525716258198 0.601631823301558 0.141117441070402 0.200949164136987 0.126568927328341 0.190872073294876
"мой" 0.125436788818206 0.329840900271634 0.155487641413329 0.483258543320677 0.115381445564682 0.423352323211206 0.307837017401343 0.379706781985023 0.415676959619952
"их" 0.268793118896156 0.232828870779977 0.235912283523672 0.238177424922333 0.214279827477267 0.2874614540323 0.354867672837659 0.311148613015505 0.534441805225653
"ни" 0.367350595824747 0.142284309921097 0.257358854753096 0.20711080428029 0.39284635037499 0.209062875659855 0.406173842404549 0.279506381183419 0.301153715643027
"мы" 0.582385090941672 0.18108912171776 0.235912283523672 0.210562651018295 0.445042718606632 0.350180316730257 0.235153277181581 0.116021516717646 0.275704105870377
"нет" 0.232954036376669 0.297503557107748 0.300251997211946 0.224370037970314 0.274717727534958 0.292688025923797 0.303561503270768 0.237316738740639 0.292670512385477
"у" 0.394229907714363 0.336308368904411 0.4771862098547 0.120814635830169 0.45877860498338 0.135890869178906 0.205224678267562 0.147663748549731 0.165422463522226
"был" 0.125436788818206 0.265166213943862 0.348506782478151 0.248532965136348 0.271970550259608 0.271781738357811 0.431826927187994 0.168758569771121 0.173905666779776
"когда" 0.071678165038975 0.0776096235933256 0.0428931424588494 0.348636520538488 0.25823466388286 0.360633460513249 0.342041130445936 0.30060120240481 0.343569731930777
"от" 0.304632201415644 0.368645712068296 0.284167068789877 0.255436658612358 0.126370154666081 0.297914597815293 0.252255333703878 0.305874907710157 0.284187309127927
"ли" 0.304632201415644 0.206958996248868 0.18229585545011 0.20711080428029 0.321419741215901 0.250875450791826 0.158194022831245 0.295327497099462 0.347811333559552
"там" 0.277752889526028 0.342775837537188 0.144764355798617 0.162236796686227 0.206038295651218 0.412899179428213 0.252255333703878 0.174032275076469 0.262979300984052
"под" 0.241913807006541 0.278101151209417 0.107232856147123 0.265792198826372 0.274717727534958 0.245648878900329 0.218051220659284 0.268958970572724 0.207838479809976
"уж" 0.179195412597438 0.245763808045531 0.36459171090022 0.165688643424232 0.236257245680064 0.376313176187738 0.179571593484116 0.179305980381816 0.173905666779776
"для" 0.170235641967566 0.219893933514422 0.166210927028041 0.227821884708319 0.071426609159089 0.324047457272775 0.354867672837659 0.258411559962029 0.279945707499152
"кто" 0.188155183227309 0.258698745311085 0.193019141064822 0.245081118398343 0.206038295651218 0.198609731876862 0.312112531531917 0.147663748549731 0.212080081438751
"все" 0.0806379356688469 0.349243306169965 0.278805425982521 0.0793924749741111 0.126370154666081 0.423352323211206 0.119714395656078 0.268958970572724 0.318120122158127
"из" 0.250873577636412 0.232828870779977 0.29489035440459 0.155333103210217 0.219774182027966 0.198609731876862 0.192398135875839 0.147663748549731 0.246012894468951
"меня" 0.107517247558463 0.206958996248868 0.18229585545011 0.269244045564377 0.104392736463284 0.271781738357811 0.209500192398136 0.326969728931547 0.229046487953851
"же" 0.295672430785772 0.239296339412754 0.262720497560453 0.138073869520193 0.282959259361007 0.151570584853395 0.183847107614691 0.110747811412298 0.190872073294876
"вы" 0.188155183227309 0.0905445608588798 0.101871213339767 0.2140144977563 0.252740309332161 0.297914597815293 0.115438881525503 0.210948212213901 0.246012894468951
"нам" 0.259833348266284 0.278101151209417 0.18229585545011 0.113910942354159 0.181313700173072 0.334500601055768 0.1325409380478 0.142390043244384 0.233288089582626
"тебя" 0.161275871337694 0.187556590350537 0.160849284220685 0.234725578184329 0.052196368231642 0.250875450791826 0.200949164136987 0.326969728931547 0.237529691211401
"бы" 0.385270137084491 0.129349372655543 0.310975282826658 0.113910942354159 0.277464904810307 0.109758009721424 0.175296079353542 0.068558168969518 0.186630471666101
"без" 0.268793118896156 0.155219247186651 0.235912283523672 0.131170176044184 0.203291118375869 0.141117441070402 0.226602248920433 0.168758569771121 0.169664065151001
"нас" 0.215034495116925 0.200491527616091 0.144764355798617 0.155333103210217 0.186808054723771 0.271781738357811 0.128265423917226 0.131842632633688 0.220563284696301
"вот" 0.215034495116925 0.232828870779977 0.305613640019302 0.158784949948222 0.19779676382517 0.109758009721424 0.136816452178374 0.116021516717646 0.161180861893451
"она" 0.14335633007795 0.116414435389988 0.214465712294247 0.227821884708319 0.112634268289333 0.188156588093869 0.235153277181581 0.184579685687164 0.152697658635901
"всё" 0.0447988531493594 0.265166213943862 0.29489035440459 0.134622022782188 0.159336281970276 0.146344012961898 0.29501047500962 0.110747811412298 0.0933152358330506
"над" 0.14335633007795 0.161686715819428 0.091147927725055 0.144977562996203 0.142853218318178 0.214289447551351 0.183847107614691 0.247864149351334 0.233288089582626
"друг" 0.071678165038975 0.155219247186651 0.0857862849176988 0.210562651018295 0.052196368231642 0.381539748079235 0.119714395656078 0.226769328129944 0.254496097726502
"во" 0.134396559448078 0.122881904022765 0.123317784569192 0.220918191232309 0.0934040273618857 0.203836303768358 0.1325409380478 0.30060120240481 0.207838479809976
"твой" 0.0985574769285906 0.168154184452205 0.0643397136882741 0.279599585778391 0.0302189500288454 0.162023728636387 0.175296079353542 0.284780086488767 0.246012894468951
"её" 0.107517247558463 0.174621653084983 0.134041070183904 0.20020711080428 0.0934040273618857 0.261328594574818 0.247979819573304 0.0580107583588229 0.203596878181201
"лишь" 0.0627183944091031 0.232828870779977 0.198380783872178 0.127718329306179 0.0549435455069916 0.219516019442847 0.230877763051007 0.110747811412298 0.271462504241602
"тебе" 0.125436788818206 0.168154184452205 0.150125998605973 0.210562651018295 0.0576907227823411 0.214289447551351 0.153918508700671 0.179305980381816 0.207838479809976
"ж" 0.107517247558463 0.245763808045531 0.0589780708809179 0.151881256472213 0.118128622840032 0.277008310249307 0.128265423917226 0.121295222022993 0.203596878181201
"до" 0.259833348266284 0.116414435389988 0.246635569138384 0.131170176044184 0.178566522897723 0.0731720064809491 0.171020565222968 0.0791055795802131 0.118764845605701
"здесь" 0.170235641967566 0.232828870779977 0.0804246421103426 0.120814635830169 0.0659322546083899 0.271781738357811 0.0983368250032066 0.131842632633688 0.220563284696301
"ещё" 0.107517247558463 0.0388048117966628 0.123317784569192 0.0793924749741111 0.162083459245625 0.209062875659855 0.16246953696182 0.147663748549731 0.152697658635901
"тут" 0.161275871337694 0.0194024058983314 0.418208138973782 0.0172592336900242 0.277464904810307 0.0418125751319709 0.0684082260891872 0.0316422318320852 0.0466576179165253
"теперь" 0.161275871337694 0.0452722804294399 0.171572569835398 0.10010355540214 0.162083459245625 0.130664297287409 0.111163367394929 0.0738318742748655 0.123006447234476
"пред" 0.00895977062987188 0.122881904022765 0.0428931424588494 0.148429409734208 0.0631850773330403 0.188156588093869 0.0812347684809098 0.242590444045987 0.169664065151001
"ему" 0.071678165038975 0.0711421549605484 0.262720497560453 0.0724887814981015 0.137358863767479 0.0888517221554383 0.16246953696182 0.0949266954962557 0.0933152358330506
"ль" 0.00895977062987188 0.142284309921097 0.0589780708809179 0.203658957542285 0.0247245954781462 0.219516019442847 0.0684082260891872 0.174032275076469 0.173905666779776
"есть" 0.188155183227309 0.0582072176949942 0.219827355101603 0.0586813945460822 0.142853218318178 0.0783985783724455 0.149642994570097 0.0632844636641704 0.123006447234476
"вдруг" 0.0537586237792313 0.116414435389988 0.235912283523672 0.0931998619261305 0.13186450921678 0.177703444310877 0.0983368250032066 0.0527370530534754 0.0848320325755005
"чтоб" 0.170235641967566 0.0776096235933256 0.193019141064822 0.0724887814981015 0.104392736463284 0.0731720064809491 0.16246953696182 0.110747811412298 0.131489650492026
"любви" 0.0268793118896156 0.122881904022765 0.032169856844137 0.234725578184329 0.0274717727534958 0.193383159985366 0.115438881525503 0.200400801603206 0.0848320325755005
"быть" 0.00895977062987188 0.122881904022765 0.0589780708809179 0.10010355540214 0.115381445564682 0.146344012961898 0.158194022831245 0.110747811412298 0.165422463522226
"сам" 0.14335633007795 0.0776096235933256 0.203742426679535 0.0793924749741111 0.159336281970276 0.0783985783724455 0.136816452178374 0.0527370530534754 0.0975568374618256
"ней" 0.0537586237792313 0.200491527616091 0.176934212642754 0.0690369347600966 0.126370154666081 0.0888517221554383 0.175296079353542 0.0632844636641704 0.0848320325755005
"наш" 0.0447988531493594 0.18108912171776 0.11259449895448 0.10700724887815 0.0604379000576907 0.224742591334344 0.064132711958613 0.105474106106951 0.148456057007126
"тот" 0.134396559448078 0.097012029491657 0.107232856147123 0.0517777010700725 0.112634268289333 0.120211153504416 0.175296079353542 0.100200400801603 0.131489650492026
"вам" 0.0806379356688469 0.0711421549605484 0.0857862849176988 0.141525716258198 0.156589104694926 0.130664297287409 0.0470306554363162 0.0738318742748655 0.144214455378351
"день" 0.0268793118896156 0.122881904022765 0.160849284220685 0.103555402140145 0.0879096728111865 0.141117441070402 0.136816452178374 0.126568927328341 0.0848320325755005
"моей" 0.0268793118896156 0.142284309921097 0.0375314996514932 0.138073869520193 0.0741737864344386 0.162023728636387 0.102612339133781 0.126568927328341 0.148456057007126
"свой" 0.0627183944091031 0.142284309921097 0.091147927725055 0.151881256472213 0.0219774182027966 0.099304865938431 0.0940613108726324 0.152937453855079 0.190872073294876
"вас" 0.0537586237792313 0.0840770922261027 0.0697013564956303 0.141525716258198 0.109887091013983 0.214289447551351 0.064132711958613 0.0896529901909081 0.110281642348151
"со" 0.170235641967566 0.116414435389988 0.134041070183904 0.082844321712116 0.126370154666081 0.125437725395913 0.0726837402197614 0.0843792848855606 0.0975568374618256
"ним" 0.071678165038975 0.129349372655543 0.144764355798617 0.0862961684501208 0.0906568500865361 0.099304865938431 0.102612339133781 0.142390043244384 0.110281642348151
"ей" 0.116477018188334 0.13581684128832 0.176934212642754 0.0897480151881256 0.109887091013983 0.0836251502639419 0.141091966308949 0.0369159371374328 0.0721072276891754
"жизнь" 0.0627183944091031 0.116414435389988 0.0482547852662056 0.0448740075940628 0.0851624955358369 0.209062875659855 0.158194022831245 0.0580107583588229 0.152697658635901
"час" 0.00895977062987188 0.13581684128832 0.0857862849176988 0.0655850880220918 0.0439548364055933 0.224742591334344 0.1325409380478 0.0843792848855606 0.165422463522226
"хоть" 0.071678165038975 0.097012029491657 0.214465712294247 0.082844321712116 0.0741737864344386 0.0783985783724455 0.183847107614691 0.0580107583588229 0.0593824228028504
"жизни" 0.0268793118896156 0.13581684128832 0.0643397136882741 0.10700724887815 0.0384604818548941 0.162023728636387 0.166745051092394 0.0738318742748655 0.118764845605701
"б" 0.0627183944091031 0.0582072176949942 0.11259449895448 0.103555402140145 0.0659322546083899 0.130664297287409 0.141091966308949 0.0580107583588229 0.131489650492026
"один" 0.071678165038975 0.0776096235933256 0.0536164280735617 0.0759406282361063 0.0796681409851378 0.11498458161292 0.149642994570097 0.116021516717646 0.131489650492026
"только" 0 0.0582072176949942 0.214465712294247 0.0931998619261305 0.13186450921678 0.0731720064809491 0.064132711958613 0.0474633477481278 0.106040040719376
"им" 0.0985574769285906 0.116414435389988 0.128679427376548 0.062133241284087 0.0961512046372352 0.0783985783724455 0.085510282611484 0.0896529901909081 0.118764845605701
"чем" 0.0627183944091031 0.0840770922261027 0.123317784569192 0.0552295478080773 0.137358863767479 0.0627188626979564 0.141091966308949 0.0632844636641704 0.0805904309467255
"сердце" 0.071678165038975 0.2263614021472 0.0428931424588494 0.10010355540214 0.0467020136809428 0.0783985783724455 0.166745051092394 0.100200400801603 0.0551408211740753
"сей" 0 0.051739749062217 0.0428931424588494 0.0655850880220918 0.0357133045795445 0.219516019442847 0.0769592543503356 0.184579685687164 0.165422463522226
"будет" 0.0447988531493594 0.129349372655543 0.187657498257466 0.0862961684501208 0.0604379000576907 0.120211153504416 0.0983368250032066 0.0316422318320852 0.0848320325755005
"бог" 0.0537586237792313 0.122881904022765 0.0965095705324111 0.0931998619261305 0.140106041042829 0.0731720064809491 0.106887853264355 0.0263685265267377 0.0551408211740753
"лет" 0.0179195412597438 0.0905445608588798 0.0428931424588494 0.0586813945460822 0.0879096728111865 0.125437725395913 0.166745051092394 0.110747811412298 0.0890736342042755
"тогда" 0.107517247558463 0.0646746863277713 0.0214465712294247 0.0966517086641353 0.0549435455069916 0.156797156744891 0.128265423917226 0.0949266954962557 0.101798439090601
"иль" 0.00895977062987188 0.18108912171776 0.0268082140367809 0.10010355540214 0.0247245954781462 0.11498458161292 0.0897857967420582 0.195127096297859 0.0975568374618256
"всех" 0.0447988531493594 0.0582072176949942 0.203742426679535 0.0517777010700725 0.0439548364055933 0.156797156744891 0.0897857967420582 0.0843792848855606 0.0805904309467255
