"ABolkonskii_part1" "ABolkonskii_part2" "bezukhov_part1" "bezukhov_part2" "bolkonskaya_part1" "bolkonskaya_part2" "rostov_part1" "rostov_part2" "rostova_part1" "rostova_part2"
"я" 3.00469483568075 3.31976197932978 5.5042735042735 4.27989130434783 3.82424735557364 5.02057613168724 4.6027397260274 3.677663601947 3.84772820302906 5.16413130504404
"не" 3.69327073552426 2.78734732226746 3.93162393162393 2.75135869565217 3.41741253051261 3.45679012345679 4.38356164383562 3.13683071930773 3.80679492427343 4.20336269015212
"что" 2.72300469483568 3.13185092389602 3.14529914529915 3.0570652173913 2.92921074043938 3.62139917695473 3.01369863013699 3.13683071930773 3.76586164551781 3.60288230584468
"и" 3.06729264475743 3.94613216410899 3.48717948717949 2.2758152173913 2.27827502034174 2.63374485596708 2.08219178082192 3.677663601947 2.57879656160458 2.12169735788631
"это" 1.28325508607199 1.22142186031945 1.5042735042735 1.01902173913043 1.30187144019528 1.56378600823045 1.20547945205479 1.24391563007031 1.51453131395825 2.2417934347478
"в" 1.5962441314554 1.75383651738177 1.84615384615385 1.6304347826087 0.895036615134255 1.31687242798354 0.657534246575342 1.08166576527853 0.98239869013508 1.00080064051241
"да" 0.719874804381847 0.876918258690886 1.64102564102564 2.34375 0.65093572009764 1.39917695473251 1.42465753424658 1.56841535965387 1.02333196889071 1.56124899919936
"ты" 1.69014084507042 0.970873786407767 0.0341880341880342 0.611413043478261 1.87144019528072 1.89300411522634 1.36986301369863 1.18983234180638 1.84199754400327 2.28182546036829
"вы" 0.782472613458529 0.751644221735045 2.11965811965812 0.849184782608696 0.65093572009764 2.30452674897119 0.931506849315068 1.08166576527853 1.14613180515759 1.68134507606085
"как" 0.970266040688576 1.03351080488569 1.09401709401709 0.917119565217391 0.976403580146461 1.1522633744856 1.36986301369863 1.24391563007031 1.35079819893573 1.48118494795837
"а" 1.12676056338028 1.28405887879737 0.752136752136752 1.22282608695652 0.569568755085435 0.576131687242798 1.36986301369863 0.973499188750676 1.92386410151453 0.760608486789431
"он" 0.938967136150235 0.782962730974006 0.717948717948718 1.01902173913043 1.13913751017087 1.48148148148148 0.931506849315068 0.703082747431044 1.14613180515759 2.36188951160929
"мне" 0.563380281690141 0.563733166301284 0.547008547008547 1.05298913043478 1.70870626525631 1.23456790123457 1.0958904109589 1.35208220659816 1.39173147769136 1.1208967173739
"все" 1.00156494522692 0.939555277168807 1.05982905982906 1.15489130434783 0.32546786004882 0.905349794238683 0.821917808219178 0.75716603569497 1.06426524764634 1.00080064051241
"так" 0.657276995305164 0.751644221735045 0.923076923076923 0.951086956521739 0.976403580146461 1.1522633744856 0.876712328767123 0.703082747431044 1.5963978714695 1.04083266613291
"но" 1.12676056338028 0.908236767929847 1.05982905982906 0.849184782608696 0.895036615134255 0.823045267489712 0.657534246575342 0.703082747431044 0.818665575112567 0.600480384307446
"нет" 0.187793427230047 0.281866583150642 1.09401709401709 1.08695652173913 0.732302685109845 0.576131687242798 1.04109589041096 0.486749594375338 1.30986492018011 1.32105684547638
"меня" 0.344287949921753 0.657688694018165 0.512820512820513 0.917119565217391 0.976403580146461 0.329218106995885 1.20547945205479 0.703082747431044 0.532132623823168 1.28102481985588
"с" 0.657276995305164 0.814281240212966 0.923076923076923 0.441576086956522 0.48820179007323 1.06995884773663 0.931506849315068 0.594916170903191 0.532132623823168 0.720576461168935
"же" 0.5320813771518 0.344503601628562 0.991452991452991 0.645380434782609 0.732302685109845 0.576131687242798 1.20547945205479 0.703082747431044 0.532132623823168 0.640512409927942
"бы" 0.657276995305164 1.40933291575321 0.41025641025641 0.645380434782609 0.48820179007323 0.411522633744856 0.164383561643836 0.865332612222823 0.286532951289398 0.760608486789431
"ну" 0.469483568075117 0.501096147823364 0.444444444444444 0.713315217391304 0.32546786004882 0.0823045267489712 1.31506849315068 0.594916170903191 0.941465411379452 0.56044835868695
"то" 0.5320813771518 1.03351080488569 0.478632478632479 0.339673913043478 0.569568755085435 0.740740740740741 0.438356164383562 0.594916170903191 0.450266066311912 0.44035228182546
"на" 0.594679186228482 0.532414657062324 0.717948717948718 0.373641304347826 0.48820179007323 0.411522633744856 0.438356164383562 0.486749594375338 0.654932460090053 0.600480384307446
"его" 0.563380281690141 0.532414657062324 0.273504273504274 0.407608695652174 0.813669650122051 0.823045267489712 0.438356164383562 0.432666306111412 0.573065902578797 0.720576461168935
"вот" 0.625978090766823 0.501096147823364 0.341880341880342 0.373641304347826 0 0.493827160493827 0.931506849315068 0.486749594375338 0.654932460090053 0.280224179343475
"мы" 0.375586854460094 0.626370184779204 0.205128205128205 0.30570652173913 0.16273393002441 0.411522633744856 0.383561643835616 0.594916170903191 0.98239869013508 0.44035228182546
"у" 0.312989045383412 0.501096147823364 0.273504273504274 0.407608695652174 0.406834825061025 0.164609053497942 0.821917808219178 0.594916170903191 0.450266066311912 0.360288230584468
"только" 0.344287949921753 0.375822110867523 0.683760683760684 0.373641304347826 0.32546786004882 0.411522633744856 0.164383561643836 0.486749594375338 0.24559967253377 0.680544435548439
"вас" 0.28169014084507 0.375822110867523 0.64957264957265 0.30570652173913 0.32546786004882 0.740740740740741 0.438356164383562 0.486749594375338 0.204666393778142 0.44035228182546
"за" 0.312989045383412 0.375822110867523 0.205128205128205 0.30570652173913 0.244100895036615 0.493827160493827 0.876712328767123 0.486749594375338 0.532132623823168 0.400320256204964
"ежели" 0.375586854460094 0.782962730974006 0.376068376068376 0.30570652173913 0.48820179007323 0.329218106995885 0.438356164383562 0.432666306111412 0.163733115022513 0.120096076861489
"знаю" 0.187793427230047 0.187911055433761 0.41025641025641 0.339673913043478 0.569568755085435 0.411522633744856 0.438356164383562 0.432666306111412 0.613999181334425 0.480384307445957
"очень" 0.375586854460094 0.469777638584403 0.581196581196581 0.373641304347826 0.48820179007323 0.411522633744856 0.328767123287671 0.270416441319632 0.286532951289398 0.160128102481986
"вам" 0.344287949921753 0.156592546194801 0.512820512820513 0.203804347826087 0.244100895036615 0.987654320987654 0.547945205479452 0.540832882639264 0.24559967253377 0.360288230584468
"было" 0.250391236306729 0.469777638584403 0.239316239316239 0.271739130434783 0.32546786004882 0.493827160493827 0.164383561643836 0.378583017847485 0.613999181334425 0.44035228182546
"быть" 0.344287949921753 0.438459129345443 0.341880341880342 0.441576086956522 0.569568755085435 0.246913580246914 0.328767123287671 0.378583017847485 0.0818665575112567 0.44035228182546
"к" 0.657276995305164 0.219229564672722 0.376068376068376 0.203804347826087 0.569568755085435 0.0823045267489712 0.712328767123288 0.378583017847485 0.122799836266885 0.320256204963971
"ничего" 0.406885758998435 0.156592546194801 0.205128205128205 0.271739130434783 0.32546786004882 0.411522633744856 0.602739726027397 0.216333153055706 0.24559967253377 0.840672538030424
"она" 0.125195618153365 0.407140620106483 0.239316239316239 0.203804347826087 0.732302685109845 0.823045267489712 0.0547945205479452 0.378583017847485 0.695865738845682 0.360288230584468
"теперь" 0.406885758998435 0.313185092389602 0.41025641025641 0.339673913043478 0.32546786004882 0.576131687242798 0.164383561643836 0.324499729583559 0.327466230045027 0.360288230584468
"для" 0.625978090766823 0.313185092389602 0.41025641025641 0.203804347826087 0.406834825061025 0 0.273972602739726 0.270416441319632 0.0409332787556283 0.520416333066453
"ах" 0.0625978090766823 0.0626370184779205 0.205128205128205 0.509510869565217 0.65093572009764 0.246913580246914 0.383561643835616 0.162249864791779 0.368399508800655 0.800640512409928
"надо" 0.312989045383412 0.375822110867523 0.205128205128205 0.339673913043478 0.32546786004882 0 0.273972602739726 0.324499729583559 0.368399508800655 0.400320256204964
"этого" 0.375586854460094 0.313185092389602 0.376068376068376 0.237771739130435 0.16273393002441 0.164609053497942 0.164383561643836 0.486749594375338 0.204666393778142 0.320256204963971
"тебе" 0.438184663536776 0.281866583150642 0 0.135869565217391 0.406834825061025 0.246913580246914 0.164383561643836 0.865332612222823 0.327466230045027 0.240192153722978
"может" 0.28169014084507 0.219229564672722 0.170940170940171 0.509510869565217 0.16273393002441 0.329218106995885 0.219178082191781 0.432666306111412 0 0.44035228182546
"будет" 0.250391236306729 0.219229564672722 0.136752136752137 0.339673913043478 0.48820179007323 0.164609053497942 0.10958904109589 0.324499729583559 0.532132623823168 0.240192153722978
"могу" 0.375586854460094 0.281866583150642 0.307692307692308 0.271739130434783 0 0.246913580246914 0.383561643835616 0.378583017847485 0.0818665575112567 0.280224179343475
"от" 0.219092331768388 0.407140620106483 0.376068376068376 0.237771739130435 0.244100895036615 0.329218106995885 0.493150684931507 0.162249864791779 0.122799836266885 0.160128102481986
"есть" 0.438184663536776 0.250548073911682 0.547008547008547 0.237771739130435 0.406834825061025 0 0.383561643835616 0.108166576527853 0 0.120096076861489
"о" 0.219092331768388 0.313185092389602 0.170940170940171 0.237771739130435 0.081366965012205 0.823045267489712 0.219178082191781 0.216333153055706 0.204666393778142 0.320256204963971
"когда" 0.219092331768388 0.250548073911682 0.273504273504274 0.135869565217391 0.16273393002441 0.65843621399177 0.164383561643836 0.270416441319632 0.163733115022513 0.360288230584468
"еще" 0.156494522691706 0.156592546194801 0.136752136752137 0.237771739130435 0.406834825061025 0.164609053497942 0.273972602739726 0.216333153055706 0.695865738845682 0.0800640512409928
"соня" 0 0 0 0 0 0 0.493150684931507 0.216333153055706 0.73679901760131 1.00080064051241
"мой" 0.375586854460094 0.281866583150642 0.136752136752137 0.135869565217391 0.569568755085435 0.0823045267489712 0.164383561643836 0.108166576527853 0.163733115022513 0.360288230584468
"ее" 0.125195618153365 0.313185092389602 0.307692307692308 0.373641304347826 0.244100895036615 0.164609053497942 0.0547945205479452 0.486749594375338 0.163733115022513 0.0400320256204964
"отчего" 0.187793427230047 0.125274036955841 0.205128205128205 0.30570652173913 0.16273393002441 0.493827160493827 0.164383561643836 0.0540832882639264 0.24559967253377 0.360288230584468
"хорошо" 0.219092331768388 0.0313185092389602 0.205128205128205 0.101902173913043 0.16273393002441 0.0823045267489712 0.0547945205479452 0.432666306111412 0.49119934506754 0.44035228182546
"ему" 0.344287949921753 0.187911055433761 0.136752136752137 0.237771739130435 0.081366965012205 0.0823045267489712 0.164383561643836 0.108166576527853 0.409332787556283 0.240192153722978
"был" 0.312989045383412 0.250548073911682 0.273504273504274 0.271739130434783 0.081366965012205 0.0823045267489712 0.10958904109589 0.270416441319632 0.0818665575112567 0.200160128102482
"мама" 0 0 0 0 0 0 0.0547945205479452 0.0540832882639264 1.43266475644699 0.480384307445957
"ж" 0.0938967136150235 0.0939555277168807 0.239316239316239 0.30570652173913 0.081366965012205 0 0.219178082191781 0.432666306111412 0.409332787556283 0.120096076861489
"сказал" 0.125195618153365 0.0626370184779205 0.136752136752137 0.271739130434783 0.16273393002441 0.246913580246914 0.712328767123288 0.270416441319632 0.122799836266885 0.160128102481986
"тебя" 0.28169014084507 0.125274036955841 0.0341880341880342 0.101902173913043 0.65093572009764 0.164609053497942 0.0547945205479452 0.324499729583559 0.163733115022513 0.400320256204964
"чтобы" 0.28169014084507 0.156592546194801 0.205128205128205 0.135869565217391 0.244100895036615 0.411522633744856 0.0547945205479452 0.270416441319632 0.286532951289398 0.120096076861489
"можно" 0.156494522691706 0.0626370184779205 0.239316239316239 0.135869565217391 0 0.411522633744856 0.164383561643836 0.162249864791779 0.286532951289398 0.360288230584468
"ни" 0.187793427230047 0.344503601628562 0.170940170940171 0.0679347826086956 0 0.0823045267489712 0.383561643835616 0.270416441319632 0.204666393778142 0.120096076861489
"ведь" 0.156494522691706 0.0313185092389602 0.0683760683760684 0.203804347826087 0.244100895036615 0.0823045267489712 0.383561643835616 0.270416441319632 0.409332787556283 0.160128102481986
"про" 0.250391236306729 0.0939555277168807 0.239316239316239 0.203804347826087 0.32546786004882 0.246913580246914 0.219178082191781 0.108166576527853 0.0818665575112567 0.160128102481986
"себя" 0.250391236306729 0.156592546194801 0.307692307692308 0.169836956521739 0 0.411522633744856 0.10958904109589 0.162249864791779 0.122799836266885 0.120096076861489
"никогда" 0.125195618153365 0.125274036955841 0.102564102564103 0.0339673913043478 0.48820179007323 0.411522633744856 0 0.108166576527853 0.327466230045027 0.240192153722978
"чем" 0.187793427230047 0.156592546194801 0.102564102564103 0.169836956521739 0.081366965012205 0.0823045267489712 0.219178082191781 0.216333153055706 0.204666393778142 0.160128102481986
"из" 0.344287949921753 0.187911055433761 0.136752136752137 0.101902173913043 0.16273393002441 0 0.164383561643836 0.108166576527853 0.0818665575112567 0.160128102481986
"ли" 0.0938967136150235 0.281866583150642 0.102564102564103 0.0339673913043478 0.081366965012205 0.246913580246914 0.273972602739726 0.216333153055706 0.204666393778142 0.120096076861489
"по" 0.219092331768388 0.125274036955841 0.170940170940171 0.135869565217391 0.081366965012205 0.246913580246914 0.164383561643836 0.270416441319632 0 0.200160128102482
"где" 0.28169014084507 0.0939555277168807 0.0683760683760684 0.271739130434783 0 0.164609053497942 0.328767123287671 0.108166576527853 0.122799836266885 0.0400320256204964
"или" 0.250391236306729 0.219229564672722 0.0683760683760684 0.237771739130435 0 0.164609053497942 0.10958904109589 0.216333153055706 0.0409332787556283 0.120096076861489
"они" 0.156494522691706 0.219229564672722 0.0683760683760684 0.373641304347826 0.244100895036615 0.164609053497942 0 0.0540832882639264 0.0818665575112567 0.0400320256204964
"vous" 0.312989045383412 0.0939555277168807 0.205128205128205 0.339673913043478 0.406834825061025 0 0 0 0 0
"буду" 0 0.156592546194801 0.102564102564103 0.0679347826086956 0.081366965012205 0 0.273972602739726 0.162249864791779 0.409332787556283 0.160128102481986
"говорил" 0.0938967136150235 0.219229564672722 0.102564102564103 0.135869565217391 0 0.164609053497942 0.164383561643836 0.270416441319632 0.0818665575112567 0.160128102481986
"дело" 0.28169014084507 0.0939555277168807 0.170940170940171 0.0339673913043478 0 0 0.328767123287671 0.216333153055706 0.122799836266885 0.0800640512409928
"сказать" 0.0312989045383412 0.125274036955841 0.239316239316239 0.203804347826087 0.081366965012205 0.164609053497942 0.10958904109589 0.162249864791779 0.122799836266885 0.160128102481986
