"dostoevsky_idiot" "dostoevsky_prestuplenie" "goncharov_oblomov" "goncharov_obryv" "leskov_nekuda" "leskov_nozhy" "tolstoy_karenina1" "tolstoy_vojna1" "turgenev_nov" "turgenev_otcy"
"и" 4.69599298151927 4.88995861543523 4.04026836622991 4.28682571486937 4.13642381993077 4.98591442219566 4.83668514993517 4.48078650092168 3.93115587717583 3.75116368216417
"не" 2.39305399271451 2.1812032114884 2.61650358291751 2.6673678811876 2.04401763257666 2.33520718681235 2.39937653452509 1.75355674244931 2.34174326879197 2.44601427450121
"в" 2.29340300955505 2.15118930119536 2.36935950732366 2.21143356354612 2.25724631901351 2.17555655982464 2.05798780656018 2.14302594885853 2.10704739552774 2.17403209024697
"что" 2.22903514961951 1.98322684167085 1.71859154740398 1.58294831730247 1.47718027661238 1.86047886740973 2.29868410163039 1.12775913409274 1.59723580415933 1.53697314860449
"он" 1.20582457612572 1.63864406388345 1.76425947441589 1.71898972952533 0.672122343282233 0.900885680859241 2.02557311925846 1.674150399395 1.60766673185996 1.59721081357355
"на" 1.1738790456392 1.38756616047053 1.61449553730331 1.55600081711775 1.31234014495297 1.31479471379035 1.32003641479765 1.48319705062154 1.4003520438099 1.41467243487943
"с" 1.38128659432037 1.47991665367988 1.39152859953929 1.30956158155748 1.32616544631795 1.32746539847192 1.25658638859003 1.27522805690788 1.24649586022557 1.52237007830896
"я" 1.6263612610379 1.39449244746123 0.971786623326908 1.22524198420529 0.905025497046171 1.32704304231586 1.24003420784022 0.709930519449827 1.27648477736489 1.42745012138802
"а" 0.758587149314363 1.04586933559592 1.05707819289326 1.06312234599721 1.07411956758711 0.983667487445463 0.493117051504869 0.413102046603961 0.972684008083969 0.929120347553073
"как" 0.924989987221788 1.04356057326569 1.07050993613206 0.940989320966459 0.665741434959933 0.724340807629442 0.962095506082926 0.957602684690646 0.87489406089054 0.830549623058248
"она" 0.49539412202239 0.520625905467726 1.09670183544771 1.45038400187763 0.514726604665507 0.663943877313984 1.22072333029877 0.531266247577634 0.674098702653367 0.713725060694011
"это" 0.806743844525394 0.810952768494629 0.60711479439359 0.628485246243649 0.880565348477356 1.04997740394565 0.848988937625866 0.49156307605048 0.654540713214682 0.721026595841776
"то" 0.978868269982645 1.25077199240417 0.726657309218877 0.56633214097889 0.765708998675962 0.58285149535197 0.718640514221082 0.708985205842038 0.658452311102419 0.600551265903656
"его" 0.62985142944329 0.692051508487588 0.606443207231651 0.584586899168539 0.558329478201222 0.787271874881212 0.956578112499655 0.768539963132769 0.867070865115066 0.799518098680247
"но" 0.844887761524231 0.663191979359665 0.43115895796536 0.45289185794321 0.445068355480403 0.836687545139314 0.969681922259924 0.53693812922437 0.757546124258426 0.722851979628717
"к" 0.550226002708218 0.529283764206103 0.545328775495128 0.639785810837241 0.663082723158975 0.623397686332977 0.72622693039808 0.799735312189819 0.640198187626312 0.66626508223354
"вы" 0.73474720119009 0.562760817994494 0.32303342489305 0.632396980141431 0.532274102551832 0.545684153619381 0.317250131038098 0.281703455121236 0.60238607471152 0.7575342715806
