"dostoevsky_idiot" "dostoevsky_prestuplenie" "goncharov_oblomov" "goncharov_obryv" "leskov_nekuda" "leskov_nozhy" "tolstoy_karenina1" "tolstoy_vojna1" "turgenev_nov" "turgenev_otcy"
"dostoevsky_idiot" 0 0.683469211397825 1.42024482182247 1.45146637552048 1.26592694493906 1.07474577694343 1.38951205509214 1.42568049349199 1.06659412820938 1.20023162653647
"dostoevsky_prestuplenie" 0.683469211397825 0 1.2797631335992 1.35737097320065 1.20684887224783 1.02965342794536 1.38754573467857 1.45495495807059 0.934105079389743 1.11210250697606
"goncharov_oblomov" 1.42024482182247 1.2797631335992 0 0.683104476314091 1.17158320708034 1.24955653519165 1.45966945094901 1.38146125101211 1.14994317701128 1.05879082722392
"goncharov_obryv" 1.45146637552048 1.35737097320065 0.683104476314091 0 1.23960166581308 1.12046283704284 1.38461292998758 1.39384400238255 1.15845244234048 0.99649796553165
"leskov_nekuda" 1.26592694493906 1.20684887224783 1.17158320708034 1.23960166581308 0 0.821197779365333 1.32487867844925 1.15574171722965 0.941106207080578 0.994819699469232
"leskov_nozhy" 1.07474577694343 1.02965342794536 1.24955653519165 1.12046283704284 0.821197779365333 0 1.05647592643864 1.21582433522182 0.811258557793025 0.851896399111273
"tolstoy_karenina1" 1.38951205509214 1.38754573467857 1.45966945094901 1.38461292998758 1.32487867844925 1.05647592643864 0 0.998933565807647 1.11115012017018 1.2345594451025
"tolstoy_vojna1" 1.42568049349199 1.45495495807059 1.38146125101211 1.39384400238255 1.15574171722965 1.21582433522182 0.998933565807647 0 1.15366870146125 1.12241970175583
"turgenev_nov" 1.06659412820938 0.934105079389743 1.14994317701128 1.15845244234048 0.941106207080578 0.811258557793025 1.11115012017018 1.15366870146125 0 0.584794825069715
"turgenev_otcy" 1.20023162653647 1.11210250697606 1.05879082722392 0.99649796553165 0.994819699469232 0.851896399111273 1.2345594451025 1.12241970175583 0.584794825069715 0
