"karamzin_igr1" "karamzin_igr2" "kareev_istorica" "kareev_obschiy" "klyuchevky_boyarskaya1" "klyuchevky_boyarskaya2" "klyuchevky_skazania" "platonov_godunov" "platonov_grozny" "rozhkov_trud" "solovyev_rossii1" "solovyev_rossii2"
"и" 4.83252754910928 4.3522383487152 4.25381550259379 4.87922997760155 3.81669220009325 4.19739753450637 3.97221901351507 5.40081799591002 5.6134103735555 4.99789473684211 3.72717707495203 4.12019484423504
"в" 3.85034191384642 3.45421820549152 3.89294038042252 4.50390459470912 4.38952907480184 4.17500790222316 4.04297100612221 3.58282208588957 3.59446385380274 3.86315789473684 2.94732933094015 2.88830811891879
"не" 1.20867633607736 1.41883353119136 1.47206976919029 1.09570797263757 1.32818224205688 1.58702981772205 1.03673327942705 1.57668711656442 1.23958613276001 1.21473684210526 1.28736770440057 1.67114513932344
"на" 1.02574153926565 1.05694481675794 0.923238854221487 1.33583550255262 1.27356291214281 1.16821199030661 1.54932424627469 1.50511247443763 1.50833109379199 1.20210526315789 1.66367518722535 1.89077434632704
"с" 1.36112200008711 1.57967295982844 0.930757085933388 1.07552918861109 1.50536201958303 1.36049942050363 1.23599399330022 1.0920245398773 1.3269282450954 0.785263157894737 1.41734232840255 1.86623477012552
"что" 0.825384380852825 0.800367632979742 1.04052326892715 0.700203805718667 0.694065143542263 0.774417869560636 0.948654268222248 1.0838445807771 0.866702499328138 0.861052631578947 1.17719873738937 1.22207089483565
"к" 0.566226752036239 0.760157775820473 0.77137057364108 0.680025021692193 0.594151735162859 0.604520071646823 0.628104424165415 0.738241308793456 0.823031443160441 0.673684210526316 0.872686761156155 1.20121225506436
"по" 0.381114160024391 0.216367326618925 0.448086610029321 0.375325382892427 0.987144474788517 1.16294384153408 1.40493242462747 0.791411042944785 0.702096210696049 0.416842105263158 0.839264714984217 0.580360977165924
"его" 0.640271788840977 1.01290544939302 0.293211036764153 0.330932058034183 0.579497768600546 0.636128964281951 0.428843710292249 0.948875255623722 0.980919107766729 0.322105263157895 0.563223370675249 1.03311615808395
"но" 0.775295091249619 0.786964347259985 0.487181414931208 0.490344451843332 0.519549723572904 0.524180802865873 0.490932193600554 0.458077709611452 0.497178177909164 0.515789473684211 0.620164634523736 0.74232218009595
"из" 0.392003136025088 0.38295102056447 0.452597549056462 0.504469600661864 0.76333844001865 0.695395637972816 0.818701628739748 0.449897750511247 0.446788497715668 0.311578947368421 0.65234882713375 0.642936896479798
"как" 0.274402195217562 0.277639489909241 0.932260732275769 0.696168048913372 0.488909611669886 0.600568960067432 0.402853182395749 0.415132924335378 0.382961569470572 0.507368421052632 0.610261806028347 0.560729316204709
"а" 0.302713532819374 0.402098571592693 0.521765280805954 0.347075085255363 0.472923466329181 0.615056369191866 0.288783643294444 0.607361963190184 0.500537489922064 0.484210526315789 0.362691093643622 0.741095201285874
"от" 0.588004704037632 0.434649408340673 0.446582963686941 0.482272938232742 0.427629387863851 0.363502265303972 0.570347695506527 0.525562372188139 0.537489922063961 0.301052631578947 0.555796249303707 0.501834333321064
"или" 0.609782656039026 0.442308428751963 1.12322381775806 0.264342070746817 0.587490841270899 0.541302286376567 0.477936929652304 0.269938650306748 0.255307712980382 0.517894736842105 0.311939097604753 0.163188181740101
"о" 0.487826124831221 0.266150959292307 0.666115329674461 0.185644813043566 0.39432491840405 0.619007480771257 0.440395056024027 0.541922290388548 0.513974737973663 0.381052631578947 0.523612056693693 0.230672016294279
"их" 0.779650681649898 0.526557653276146 0.321780317269378 0.292592368383881 0.420968493971891 0.372721525655885 0.385526163798082 0.423312883435583 0.500537489922064 0.334736842105263 0.425821625301727 0.403676028514988
"то" 0.256979833616447 0.329337877685444 0.568378317419743 0.373307504489779 0.275761007127156 0.233115583184069 0.216587732470833 0.441717791411043 0.366165009406074 0.374736842105263 0.589218295475645 0.603673574557367
