filename	author	title	year	genre	words	status	source
karamzin_igr1.txt	Н. М. Карамзин	История государства Российского. Том 1	1816	очерк	46129	lib.ru
karamzin_igr2.txt	Н. М. Карамзин	История государства Российского. Том 2	1816	очерк	52572	Викитека
solovyev_rossii1.txt	С. М. Соловьев	История России с древнейших времен. Том 1	1851	очерк	81002	Государственная публичная научно-техническая библиотека Сибирского отделения Российской академии наук
solovyev_rossii2.txt	С. М. Соловьев	История России с древнейших времен. Том 2	1852	очерк	82242	Государственная публичная научно-техническая библиотека Сибирского отделения Российской академии наук
klyuchevky_skazania.txt	В. О. Ключевский	Сказания иностранцев о Московском государстве	1866	очерк	71313	Викитека
klyuchevky_boyarskaya1.txt	В. О. Ключевский	Боярская Дума древней Руси	1902	очерк	77471	Азбука Веры
klyuchevky_boyarskaya2.txt	В. О. Ключевский	Боярская Дума древней Руси	1902	очерк	76058	Азбука Веры
kareev_istorica.txt	Н. И. Кареев	Историка. Теория исторического знания	1913	очерк	67390	Викитека
kareev_obschiy.txt	Н. И. Кареев	Общий ход всемирной истории	1903	очерк	49658	lib.ru
platonov_godunov.txt	С. Ф. Платонов	Борис Годунов	1921	очерк	49298	lib.ru
platonov_grozny.txt	С. Ф. Платонов	Иван Грозный	1923	очерк	30084	lib.ru
rozhkov_trud.txt	Н. А. Рожков	Очерк истории труда в России; Основные законы развития общественных явлений	1924, 1907	очерк	48166	Литература и жизнь
