"karamzin_igr1" "karamzin_igr2" "kareev_istorica" "kareev_obschiy" "klyuchevky_boyarskaya1" "klyuchevky_boyarskaya2" "klyuchevky_skazania" "platonov_godunov" "platonov_grozny" "rozhkov_trud" "solovyev_rossii1" "solovyev_rossii2"
"karamzin_igr1" 0 0.744772783911141 1.52801367709862 1.33615679753183 1.2060511463904 1.1981544885252 1.20748739356694 1.19707038695897 1.13041397745068 1.23574648824347 1.2078788104233 1.42660584387614
"karamzin_igr2" 0.744772783911141 0 1.71306456696977 1.5456619428678 1.25365589282041 1.32581708971659 1.38602761317175 1.19106320187334 1.22189049078989 1.39348911876675 1.28711837427032 1.16030889960309
"kareev_istorica" 1.52801367709862 1.71306456696977 0 0.95983141399746 1.28957647672361 1.19472689741275 1.32869862091108 1.29166442165314 1.34103433546466 0.951923997734147 1.35810288641241 1.66554070673668
"kareev_obschiy" 1.33615679753183 1.5456619428678 0.95983141399746 0 1.10021078230885 1.09205447472671 1.0015261568195 1.10256703330732 1.03255378582484 0.736584753145465 1.09729394648237 1.46408284679579
"klyuchevky_boyarskaya1" 1.2060511463904 1.25365589282041 1.28957647672361 1.10021078230885 0 0.687826217069927 0.865054090998757 1.09465137804479 1.06652764884447 0.958431059917793 0.984235927417972 1.27866066890979
"klyuchevky_boyarskaya2" 1.1981544885252 1.32581708971659 1.19472689741275 1.09205447472671 0.687826217069927 0 0.911306256002213 0.867265024345638 0.949352417446883 0.9335927328318 1.02533476906588 1.30497577006743
"klyuchevky_skazania" 1.20748739356694 1.38602761317175 1.32869862091108 1.0015261568195 0.865054090998757 0.911306256002213 0 1.05350459650284 1.04390261186926 0.915771014551508 0.903769787856059 1.35526987501904
"platonov_godunov" 1.19707038695897 1.19106320187334 1.29166442165314 1.10256703330732 1.09465137804479 0.867265024345638 1.05350459650284 0 0.457947224602045 1.04956830596306 0.996480850698087 1.10867839407449
"platonov_grozny" 1.13041397745068 1.22189049078989 1.34103433546466 1.03255378582484 1.06652764884447 0.949352417446883 1.04390261186926 0.457947224602045 0 1.04711425765039 0.989999018620505 1.20464980588543
"rozhkov_trud" 1.23574648824347 1.39348911876675 0.951923997734147 0.736584753145465 0.958431059917793 0.9335927328318 0.915771014551508 1.04956830596306 1.04711425765039 0 1.02875548584947 1.36786309193224
"solovyev_rossii1" 1.2078788104233 1.28711837427032 1.35810288641241 1.09729394648237 0.984235927417972 1.02533476906588 0.903769787856059 0.996480850698087 0.989999018620505 1.02875548584947 0 0.783077340166304
"solovyev_rossii2" 1.42660584387614 1.16030889960309 1.66554070673668 1.46408284679579 1.27866066890979 1.30497577006743 1.35526987501904 1.10867839407449 1.20464980588543 1.36786309193224 0.783077340166304 0
